glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001705-glyph-0001,obs-comp-cand-001705,obimd-glyph-link-026378,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zeepyl418j,󿲅,U+FFC85,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001705-glyph-0002,obs-comp-cand-001705,obimd-glyph-link-026379,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zeepyl418j,󹹊,U+F9E4A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001705-glyph-0003,obs-comp-cand-001705,obimd-glyph-link-026380,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zeepyl418j,󹹋,U+F9E4B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001705-glyph-0004,obs-comp-cand-001705,obimd-glyph-link-026381,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zeepyl418j,󹹌,U+F9E4C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001705-glyph-0005,obs-comp-cand-001705,obimd-glyph-link-026382,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zeepyl418j,󹹍,U+F9E4D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001705-glyph-0006,obs-comp-cand-001705,obimd-glyph-link-026383,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zeepyl418j,󹹎,U+F9E4E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001705-glyph-0007,obs-comp-cand-001705,obimd-glyph-link-026384,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zeepyl418j,󹹏,U+F9E4F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001705-glyph-0008,obs-comp-cand-001705,obimd-glyph-link-026385,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zeepyl418j,󹹐,U+F9E50,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001705-glyph-0009,obs-comp-cand-001705,obimd-glyph-link-026386,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zeepyl418j,󹹑,U+F9E51,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001705-glyph-0010,obs-comp-cand-001705,obimd-glyph-link-026387,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zeepyl418j,󹹒,U+F9E52,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
