glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001715-glyph-0001,obs-comp-cand-001715,obimd-glyph-link-026676,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0kzlglkv4r,啓򯈓󺀊,U+5553;U+AF213;U+FA00A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001715-glyph-0002,obs-comp-cand-001715,obimd-glyph-link-026677,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0kzlglkv4r,󺀋,U+FA00B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001715-glyph-0003,obs-comp-cand-001715,obimd-glyph-link-026678,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0kzlglkv4r,󺀌,U+FA00C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001715-glyph-0004,obs-comp-cand-001715,obimd-glyph-link-026679,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0kzlglkv4r,󺀍,U+FA00D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001715-glyph-0005,obs-comp-cand-001715,obimd-glyph-link-026680,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0kzlglkv4r,󺀎,U+FA00E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001715-glyph-0006,obs-comp-cand-001715,obimd-glyph-link-026681,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0kzlglkv4r,󺀏,U+FA00F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001715-glyph-0007,obs-comp-cand-001715,obimd-glyph-link-026682,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0kzlglkv4r,󺀐,U+FA010,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001715-glyph-0008,obs-comp-cand-001715,obimd-glyph-link-026683,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0kzlglkv4r,󺀑,U+FA011,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001715-glyph-0009,obs-comp-cand-001715,obimd-glyph-link-026684,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0kzlglkv4r,󺀒,U+FA012,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001715-glyph-0010,obs-comp-cand-001715,obimd-glyph-link-026685,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0kzlglkv4r,󺀓,U+FA013,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001715-glyph-0011,obs-comp-cand-001715,obimd-glyph-link-026686,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0kzlglkv4r,󺀔,U+FA014,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
