glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001718-glyph-0001,obs-comp-cand-001718,obimd-glyph-link-026725,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-du93rs9pec,門󺁎,U+9580;U+FA04E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001718-glyph-0002,obs-comp-cand-001718,obimd-glyph-link-026726,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-du93rs9pec,󺁏,U+FA04F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001718-glyph-0003,obs-comp-cand-001718,obimd-glyph-link-026727,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-du93rs9pec,󺁐,U+FA050,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001718-glyph-0004,obs-comp-cand-001718,obimd-glyph-link-026728,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-du93rs9pec,󺁑,U+FA051,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001718-glyph-0005,obs-comp-cand-001718,obimd-glyph-link-026729,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-du93rs9pec,󺁒,U+FA052,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001718-glyph-0006,obs-comp-cand-001718,obimd-glyph-link-026730,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-du93rs9pec,󺁓,U+FA053,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001718-glyph-0007,obs-comp-cand-001718,obimd-glyph-link-026731,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-du93rs9pec,󺁔,U+FA054,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001718-glyph-0008,obs-comp-cand-001718,obimd-glyph-link-026732,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-du93rs9pec,󺁕,U+FA055,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001718-glyph-0009,obs-comp-cand-001718,obimd-glyph-link-026733,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-du93rs9pec,󺁖,U+FA056,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001718-glyph-0010,obs-comp-cand-001718,obimd-glyph-link-026734,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-du93rs9pec,󺁗,U+FA057,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001718-glyph-0011,obs-comp-cand-001718,obimd-glyph-link-026735,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-du93rs9pec,󺁘,U+FA058,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
