glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001721-glyph-0001,obs-comp-cand-001721,obimd-glyph-link-026764,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9mg6ifqmny,囧󺂽,U+56E7;U+FA0BD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001721-glyph-0002,obs-comp-cand-001721,obimd-glyph-link-026765,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9mg6ifqmny,󺂾,U+FA0BE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001721-glyph-0003,obs-comp-cand-001721,obimd-glyph-link-026766,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9mg6ifqmny,󺂿,U+FA0BF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001721-glyph-0004,obs-comp-cand-001721,obimd-glyph-link-026767,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9mg6ifqmny,󺃀,U+FA0C0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001721-glyph-0005,obs-comp-cand-001721,obimd-glyph-link-026768,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9mg6ifqmny,󺃁,U+FA0C1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001721-glyph-0006,obs-comp-cand-001721,obimd-glyph-link-026769,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9mg6ifqmny,󺃂,U+FA0C2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001721-glyph-0007,obs-comp-cand-001721,obimd-glyph-link-026770,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9mg6ifqmny,󺃃,U+FA0C3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001721-glyph-0008,obs-comp-cand-001721,obimd-glyph-link-026771,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9mg6ifqmny,󺃅,U+FA0C5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001721-glyph-0009,obs-comp-cand-001721,obimd-glyph-link-026772,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9mg6ifqmny,󺃆,U+FA0C6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001721-glyph-0010,obs-comp-cand-001721,obimd-glyph-link-026773,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9mg6ifqmny,󺃇,U+FA0C7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001721-glyph-0011,obs-comp-cand-001721,obimd-glyph-link-026774,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9mg6ifqmny,󺃈,U+FA0C8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001721-glyph-0012,obs-comp-cand-001721,obimd-glyph-link-026775,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9mg6ifqmny,󺃉,U+FA0C9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001721-glyph-0013,obs-comp-cand-001721,obimd-glyph-link-026776,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9mg6ifqmny,󺃊,U+FA0CA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
