glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001727-glyph-0001,obs-comp-cand-001727,obimd-glyph-link-026807,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-2vsix7bgfw,󺄆,U+FA106,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001727-glyph-0002,obs-comp-cand-001727,obimd-glyph-link-026808,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-2vsix7bgfw,󺄇,U+FA107,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001727-glyph-0003,obs-comp-cand-001727,obimd-glyph-link-026809,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-2vsix7bgfw,󺄈,U+FA108,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001727-glyph-0004,obs-comp-cand-001727,obimd-glyph-link-026810,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-2vsix7bgfw,󺄊,U+FA10A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001727-glyph-0005,obs-comp-cand-001727,obimd-glyph-link-026811,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-2vsix7bgfw,󺄋,U+FA10B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001727-glyph-0006,obs-comp-cand-001727,obimd-glyph-link-026812,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-2vsix7bgfw,󺄍,U+FA10D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001727-glyph-0007,obs-comp-cand-001727,obimd-glyph-link-026813,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-2vsix7bgfw,󺄎,U+FA10E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001727-glyph-0008,obs-comp-cand-001727,obimd-glyph-link-026814,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-2vsix7bgfw,󺄏,U+FA10F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001727-glyph-0009,obs-comp-cand-001727,obimd-glyph-link-026815,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-2vsix7bgfw,󺄐,U+FA110,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001727-glyph-0010,obs-comp-cand-001727,obimd-glyph-link-026816,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-2vsix7bgfw,󺄑,U+FA111,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
