glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001749-glyph-0001,obs-comp-cand-001749,obimd-glyph-link-026980,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h8b8jxgieq,󺇳,U+FA1F3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001749-glyph-0002,obs-comp-cand-001749,obimd-glyph-link-026981,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h8b8jxgieq,󺇴,U+FA1F4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001749-glyph-0003,obs-comp-cand-001749,obimd-glyph-link-026982,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h8b8jxgieq,󺇵,U+FA1F5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001749-glyph-0004,obs-comp-cand-001749,obimd-glyph-link-026983,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h8b8jxgieq,󺇶,U+FA1F6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001749-glyph-0005,obs-comp-cand-001749,obimd-glyph-link-026984,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h8b8jxgieq,󺇷,U+FA1F7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001749-glyph-0006,obs-comp-cand-001749,obimd-glyph-link-026985,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h8b8jxgieq,󺇸,U+FA1F8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001749-glyph-0007,obs-comp-cand-001749,obimd-glyph-link-026986,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h8b8jxgieq,󺇹,U+FA1F9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001749-glyph-0008,obs-comp-cand-001749,obimd-glyph-link-026987,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h8b8jxgieq,󺇺,U+FA1FA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001749-glyph-0009,obs-comp-cand-001749,obimd-glyph-link-026988,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h8b8jxgieq,󺇻,U+FA1FB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001749-glyph-0010,obs-comp-cand-001749,obimd-glyph-link-026989,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h8b8jxgieq,󺇼,U+FA1FC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001749-glyph-0011,obs-comp-cand-001749,obimd-glyph-link-026990,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h8b8jxgieq,󺇾,U+FA1FE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
