glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001782-glyph-0001,obs-comp-cand-001782,obimd-glyph-link-027261,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-utzaaksrqa,󺏯,U+FA3EF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001782-glyph-0002,obs-comp-cand-001782,obimd-glyph-link-027262,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-utzaaksrqa,󺏰,U+FA3F0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001782-glyph-0003,obs-comp-cand-001782,obimd-glyph-link-027263,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-utzaaksrqa,󺏱,U+FA3F1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001782-glyph-0004,obs-comp-cand-001782,obimd-glyph-link-027264,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-utzaaksrqa,󺏲,U+FA3F2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001782-glyph-0005,obs-comp-cand-001782,obimd-glyph-link-027265,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-utzaaksrqa,󺏳,U+FA3F3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001782-glyph-0006,obs-comp-cand-001782,obimd-glyph-link-027266,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-utzaaksrqa,󺏴,U+FA3F4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001782-glyph-0007,obs-comp-cand-001782,obimd-glyph-link-027267,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-utzaaksrqa,󺏵,U+FA3F5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001782-glyph-0008,obs-comp-cand-001782,obimd-glyph-link-027268,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-utzaaksrqa,󺏶,U+FA3F6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001782-glyph-0009,obs-comp-cand-001782,obimd-glyph-link-027269,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-utzaaksrqa,󺏷,U+FA3F7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001782-glyph-0010,obs-comp-cand-001782,obimd-glyph-link-027270,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-utzaaksrqa,󺏸,U+FA3F8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001782-glyph-0011,obs-comp-cand-001782,obimd-glyph-link-027271,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-utzaaksrqa,󺏹,U+FA3F9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001782-glyph-0012,obs-comp-cand-001782,obimd-glyph-link-027272,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-utzaaksrqa,󺏺,U+FA3FA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001782-glyph-0013,obs-comp-cand-001782,obimd-glyph-link-027273,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-utzaaksrqa,󺏻,U+FA3FB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
