glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001787-glyph-0001,obs-comp-cand-001787,obimd-glyph-link-027328,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h1yvqbcpot,曾󺑳,U+66FE;U+FA473,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001787-glyph-0002,obs-comp-cand-001787,obimd-glyph-link-027329,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h1yvqbcpot,󺑴,U+FA474,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001787-glyph-0003,obs-comp-cand-001787,obimd-glyph-link-027330,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h1yvqbcpot,󺑵,U+FA475,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001787-glyph-0004,obs-comp-cand-001787,obimd-glyph-link-027331,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h1yvqbcpot,󺑶,U+FA476,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001787-glyph-0005,obs-comp-cand-001787,obimd-glyph-link-027332,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h1yvqbcpot,󺑷,U+FA477,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001787-glyph-0006,obs-comp-cand-001787,obimd-glyph-link-027333,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h1yvqbcpot,󺑸,U+FA478,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001787-glyph-0007,obs-comp-cand-001787,obimd-glyph-link-027334,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h1yvqbcpot,󺑹,U+FA479,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001787-glyph-0008,obs-comp-cand-001787,obimd-glyph-link-027335,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h1yvqbcpot,󺑺,U+FA47A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001787-glyph-0009,obs-comp-cand-001787,obimd-glyph-link-027336,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h1yvqbcpot,󺑻,U+FA47B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001787-glyph-0010,obs-comp-cand-001787,obimd-glyph-link-027337,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h1yvqbcpot,󺑼,U+FA47C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001787-glyph-0011,obs-comp-cand-001787,obimd-glyph-link-027338,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h1yvqbcpot,󺑽,U+FA47D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001787-glyph-0012,obs-comp-cand-001787,obimd-glyph-link-027339,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h1yvqbcpot,󺑾,U+FA47E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001787-glyph-0013,obs-comp-cand-001787,obimd-glyph-link-027340,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h1yvqbcpot,󺑿,U+FA47F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001787-glyph-0014,obs-comp-cand-001787,obimd-glyph-link-027341,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h1yvqbcpot,󺒀,U+FA480,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
