glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001791-glyph-0001,obs-comp-cand-001791,obimd-glyph-link-027387,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-quzfkax68u,󿫄,U+FFAC4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001791-glyph-0002,obs-comp-cand-001791,obimd-glyph-link-027388,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-quzfkax68u,󺒿,U+FA4BF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001791-glyph-0003,obs-comp-cand-001791,obimd-glyph-link-027389,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-quzfkax68u,󺓀,U+FA4C0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001791-glyph-0004,obs-comp-cand-001791,obimd-glyph-link-027390,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-quzfkax68u,󺓁,U+FA4C1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001791-glyph-0005,obs-comp-cand-001791,obimd-glyph-link-027391,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-quzfkax68u,󺓂,U+FA4C2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001791-glyph-0006,obs-comp-cand-001791,obimd-glyph-link-027392,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-quzfkax68u,󺓃,U+FA4C3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001791-glyph-0007,obs-comp-cand-001791,obimd-glyph-link-027393,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-quzfkax68u,󺓄,U+FA4C4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001791-glyph-0008,obs-comp-cand-001791,obimd-glyph-link-027394,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-quzfkax68u,󺓅,U+FA4C5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001791-glyph-0009,obs-comp-cand-001791,obimd-glyph-link-027395,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-quzfkax68u,󺓆,U+FA4C6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001791-glyph-0010,obs-comp-cand-001791,obimd-glyph-link-027396,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-quzfkax68u,󺓇,U+FA4C7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
