glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001837-glyph-0001,obs-comp-cand-001837,obimd-glyph-link-027838,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lp8x647qo2,丙󺠎,U+4E19;U+FA80E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001837-glyph-0002,obs-comp-cand-001837,obimd-glyph-link-027839,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lp8x647qo2,󺠏,U+FA80F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001837-glyph-0003,obs-comp-cand-001837,obimd-glyph-link-027840,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lp8x647qo2,󺠐,U+FA810,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001837-glyph-0004,obs-comp-cand-001837,obimd-glyph-link-027841,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lp8x647qo2,󺠑,U+FA811,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001837-glyph-0005,obs-comp-cand-001837,obimd-glyph-link-027842,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lp8x647qo2,󺠒,U+FA812,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001837-glyph-0006,obs-comp-cand-001837,obimd-glyph-link-027843,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lp8x647qo2,󺠓,U+FA813,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001837-glyph-0007,obs-comp-cand-001837,obimd-glyph-link-027844,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lp8x647qo2,󺠔,U+FA814,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001837-glyph-0008,obs-comp-cand-001837,obimd-glyph-link-027845,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lp8x647qo2,󺠕,U+FA815,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001837-glyph-0009,obs-comp-cand-001837,obimd-glyph-link-027846,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lp8x647qo2,󺠖,U+FA816,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001837-glyph-0010,obs-comp-cand-001837,obimd-glyph-link-027847,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lp8x647qo2,󺠗,U+FA817,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001837-glyph-0011,obs-comp-cand-001837,obimd-glyph-link-027848,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lp8x647qo2,󺠘,U+FA818,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001837-glyph-0012,obs-comp-cand-001837,obimd-glyph-link-027849,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lp8x647qo2,󺠙,U+FA819,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001837-glyph-0013,obs-comp-cand-001837,obimd-glyph-link-027850,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lp8x647qo2,󺠚,U+FA81A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001837-glyph-0014,obs-comp-cand-001837,obimd-glyph-link-027851,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lp8x647qo2,󺠛,U+FA81B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001837-glyph-0015,obs-comp-cand-001837,obimd-glyph-link-027852,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lp8x647qo2,󺠜,U+FA81C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001837-glyph-0016,obs-comp-cand-001837,obimd-glyph-link-027853,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lp8x647qo2,󺠝,U+FA81D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001837-glyph-0017,obs-comp-cand-001837,obimd-glyph-link-027854,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lp8x647qo2,󺠞,U+FA81E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001837-glyph-0018,obs-comp-cand-001837,obimd-glyph-link-027855,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lp8x647qo2,󺠟,U+FA81F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001837-glyph-0019,obs-comp-cand-001837,obimd-glyph-link-027856,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lp8x647qo2,󺠠,U+FA820,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001837-glyph-0020,obs-comp-cand-001837,obimd-glyph-link-027857,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lp8x647qo2,󺠡,U+FA821,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001837-glyph-0021,obs-comp-cand-001837,obimd-glyph-link-027858,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lp8x647qo2,󺠢,U+FA822,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001837-glyph-0022,obs-comp-cand-001837,obimd-glyph-link-027859,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lp8x647qo2,󺠣,U+FA823,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001837-glyph-0023,obs-comp-cand-001837,obimd-glyph-link-027860,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lp8x647qo2,󺠤,U+FA824,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001837-glyph-0024,obs-comp-cand-001837,obimd-glyph-link-027861,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lp8x647qo2,󺠥,U+FA825,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001837-glyph-0025,obs-comp-cand-001837,obimd-glyph-link-027862,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lp8x647qo2,󺠦,U+FA826,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001837-glyph-0026,obs-comp-cand-001837,obimd-glyph-link-027863,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lp8x647qo2,󺠧,U+FA827,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001837-glyph-0027,obs-comp-cand-001837,obimd-glyph-link-027864,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lp8x647qo2,󺠨,U+FA828,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001837-glyph-0028,obs-comp-cand-001837,obimd-glyph-link-027865,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lp8x647qo2,󺠩,U+FA829,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001837-glyph-0029,obs-comp-cand-001837,obimd-glyph-link-027866,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lp8x647qo2,󺠪,U+FA82A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001837-glyph-0030,obs-comp-cand-001837,obimd-glyph-link-027867,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lp8x647qo2,󺠫,U+FA82B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
