glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001850-glyph-0001,obs-comp-cand-001850,obimd-glyph-link-028047,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mbh2ez0d6d,󺥉,U+FA949,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001850-glyph-0002,obs-comp-cand-001850,obimd-glyph-link-028048,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mbh2ez0d6d,󺥊,U+FA94A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001850-glyph-0003,obs-comp-cand-001850,obimd-glyph-link-028049,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mbh2ez0d6d,󺥋,U+FA94B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001850-glyph-0004,obs-comp-cand-001850,obimd-glyph-link-028050,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mbh2ez0d6d,󺥌,U+FA94C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001850-glyph-0005,obs-comp-cand-001850,obimd-glyph-link-028051,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mbh2ez0d6d,󺥍,U+FA94D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001850-glyph-0006,obs-comp-cand-001850,obimd-glyph-link-028052,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mbh2ez0d6d,󺥎,U+FA94E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001850-glyph-0007,obs-comp-cand-001850,obimd-glyph-link-028053,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mbh2ez0d6d,󺥏,U+FA94F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001850-glyph-0008,obs-comp-cand-001850,obimd-glyph-link-028054,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mbh2ez0d6d,󺥐,U+FA950,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001850-glyph-0009,obs-comp-cand-001850,obimd-glyph-link-028055,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mbh2ez0d6d,󺥑,U+FA951,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001850-glyph-0010,obs-comp-cand-001850,obimd-glyph-link-028056,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mbh2ez0d6d,󺥒,U+FA952,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001850-glyph-0011,obs-comp-cand-001850,obimd-glyph-link-028057,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mbh2ez0d6d,󺥓,U+FA953,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001850-glyph-0012,obs-comp-cand-001850,obimd-glyph-link-028058,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mbh2ez0d6d,󺥔,U+FA954,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001850-glyph-0013,obs-comp-cand-001850,obimd-glyph-link-028059,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mbh2ez0d6d,󺥕,U+FA955,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001850-glyph-0014,obs-comp-cand-001850,obimd-glyph-link-028060,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mbh2ez0d6d,󺥖,U+FA956,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001850-glyph-0015,obs-comp-cand-001850,obimd-glyph-link-028061,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mbh2ez0d6d,󺥗,U+FA957,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001850-glyph-0016,obs-comp-cand-001850,obimd-glyph-link-028062,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mbh2ez0d6d,󺥘,U+FA958,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
