glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001882-glyph-0001,obs-comp-cand-001882,obimd-glyph-link-028572,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wfyy86f1n0,侃永󺰫,U+4F83;U+6C38;U+FAC2B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001882-glyph-0002,obs-comp-cand-001882,obimd-glyph-link-028573,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wfyy86f1n0,󺰬,U+FAC2C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001882-glyph-0003,obs-comp-cand-001882,obimd-glyph-link-028574,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wfyy86f1n0,󺰭,U+FAC2D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001882-glyph-0004,obs-comp-cand-001882,obimd-glyph-link-028575,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wfyy86f1n0,󺰮,U+FAC2E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001882-glyph-0005,obs-comp-cand-001882,obimd-glyph-link-028576,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wfyy86f1n0,󺰯,U+FAC2F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001882-glyph-0006,obs-comp-cand-001882,obimd-glyph-link-028577,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wfyy86f1n0,󺰰,U+FAC30,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001882-glyph-0007,obs-comp-cand-001882,obimd-glyph-link-028578,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wfyy86f1n0,󺰱,U+FAC31,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001882-glyph-0008,obs-comp-cand-001882,obimd-glyph-link-028579,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wfyy86f1n0,󺰲,U+FAC32,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001882-glyph-0009,obs-comp-cand-001882,obimd-glyph-link-028580,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wfyy86f1n0,󺰳,U+FAC33,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001882-glyph-0010,obs-comp-cand-001882,obimd-glyph-link-028581,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wfyy86f1n0,󺰴,U+FAC34,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001882-glyph-0011,obs-comp-cand-001882,obimd-glyph-link-028582,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wfyy86f1n0,󺰵,U+FAC35,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001882-glyph-0012,obs-comp-cand-001882,obimd-glyph-link-028583,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wfyy86f1n0,󺰶,U+FAC36,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001882-glyph-0013,obs-comp-cand-001882,obimd-glyph-link-028584,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wfyy86f1n0,󺰷,U+FAC37,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001882-glyph-0014,obs-comp-cand-001882,obimd-glyph-link-028585,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wfyy86f1n0,󺰸,U+FAC38,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001882-glyph-0015,obs-comp-cand-001882,obimd-glyph-link-028586,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wfyy86f1n0,󺰹,U+FAC39,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001882-glyph-0016,obs-comp-cand-001882,obimd-glyph-link-028587,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wfyy86f1n0,󺰺,U+FAC3A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001882-glyph-0017,obs-comp-cand-001882,obimd-glyph-link-028588,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wfyy86f1n0,󺰻,U+FAC3B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001882-glyph-0018,obs-comp-cand-001882,obimd-glyph-link-028589,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wfyy86f1n0,󺰼,U+FAC3C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001882-glyph-0019,obs-comp-cand-001882,obimd-glyph-link-028590,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wfyy86f1n0,󺰽,U+FAC3D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001882-glyph-0020,obs-comp-cand-001882,obimd-glyph-link-028591,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wfyy86f1n0,󺰾,U+FAC3E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001882-glyph-0021,obs-comp-cand-001882,obimd-glyph-link-028592,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wfyy86f1n0,󺰿,U+FAC3F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
