glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001893-glyph-0001,obs-comp-cand-001893,obimd-glyph-link-028705,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7f1o1pqd9w,򮞃󺳳,U+AE783;U+FACF3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001893-glyph-0002,obs-comp-cand-001893,obimd-glyph-link-028706,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7f1o1pqd9w,󺳴,U+FACF4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001893-glyph-0003,obs-comp-cand-001893,obimd-glyph-link-028707,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7f1o1pqd9w,󺳵,U+FACF5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001893-glyph-0004,obs-comp-cand-001893,obimd-glyph-link-028708,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7f1o1pqd9w,󺳶,U+FACF6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001893-glyph-0005,obs-comp-cand-001893,obimd-glyph-link-028709,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7f1o1pqd9w,󺳷,U+FACF7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001893-glyph-0006,obs-comp-cand-001893,obimd-glyph-link-028710,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7f1o1pqd9w,󺳸,U+FACF8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001893-glyph-0007,obs-comp-cand-001893,obimd-glyph-link-028711,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7f1o1pqd9w,󺳹,U+FACF9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001893-glyph-0008,obs-comp-cand-001893,obimd-glyph-link-028712,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7f1o1pqd9w,󺳺,U+FACFA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001893-glyph-0009,obs-comp-cand-001893,obimd-glyph-link-028713,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7f1o1pqd9w,󺳻,U+FACFB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001893-glyph-0010,obs-comp-cand-001893,obimd-glyph-link-028714,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7f1o1pqd9w,󺳼,U+FACFC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001893-glyph-0011,obs-comp-cand-001893,obimd-glyph-link-028715,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7f1o1pqd9w,󺳽,U+FACFD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
