glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001940-glyph-0001,obs-comp-cand-001940,obimd-glyph-link-029452,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hku4d0ck4n,斿󻆶,U+65BF;U+FB1B6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001940-glyph-0002,obs-comp-cand-001940,obimd-glyph-link-029453,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hku4d0ck4n,󻆷,U+FB1B7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001940-glyph-0003,obs-comp-cand-001940,obimd-glyph-link-029454,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hku4d0ck4n,󻆸,U+FB1B8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001940-glyph-0004,obs-comp-cand-001940,obimd-glyph-link-029455,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hku4d0ck4n,󻆹,U+FB1B9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001940-glyph-0005,obs-comp-cand-001940,obimd-glyph-link-029456,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hku4d0ck4n,󻆺,U+FB1BA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001940-glyph-0006,obs-comp-cand-001940,obimd-glyph-link-029457,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hku4d0ck4n,󻆻,U+FB1BB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001940-glyph-0007,obs-comp-cand-001940,obimd-glyph-link-029458,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hku4d0ck4n,󻆼,U+FB1BC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001940-glyph-0008,obs-comp-cand-001940,obimd-glyph-link-029459,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hku4d0ck4n,󻆽,U+FB1BD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001940-glyph-0009,obs-comp-cand-001940,obimd-glyph-link-029460,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hku4d0ck4n,󻆾,U+FB1BE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001940-glyph-0010,obs-comp-cand-001940,obimd-glyph-link-029461,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hku4d0ck4n,󻆿,U+FB1BF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001940-glyph-0011,obs-comp-cand-001940,obimd-glyph-link-029462,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hku4d0ck4n,󻇀,U+FB1C0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
