glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001967-glyph-0001,obs-comp-cand-001967,obimd-glyph-link-029910,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-81cqeht6m8,冊󻐄,U+518A;U+FB404,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001967-glyph-0002,obs-comp-cand-001967,obimd-glyph-link-029911,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-81cqeht6m8,󻐅,U+FB405,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001967-glyph-0003,obs-comp-cand-001967,obimd-glyph-link-029912,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-81cqeht6m8,󻐆,U+FB406,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001967-glyph-0004,obs-comp-cand-001967,obimd-glyph-link-029913,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-81cqeht6m8,󻐇,U+FB407,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001967-glyph-0005,obs-comp-cand-001967,obimd-glyph-link-029914,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-81cqeht6m8,󻐈,U+FB408,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001967-glyph-0006,obs-comp-cand-001967,obimd-glyph-link-029915,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-81cqeht6m8,󻐉,U+FB409,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001967-glyph-0007,obs-comp-cand-001967,obimd-glyph-link-029916,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-81cqeht6m8,󻐊,U+FB40A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001967-glyph-0008,obs-comp-cand-001967,obimd-glyph-link-029917,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-81cqeht6m8,󻐋,U+FB40B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001967-glyph-0009,obs-comp-cand-001967,obimd-glyph-link-029918,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-81cqeht6m8,󻐌,U+FB40C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001967-glyph-0010,obs-comp-cand-001967,obimd-glyph-link-029919,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-81cqeht6m8,󻐍,U+FB40D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001967-glyph-0011,obs-comp-cand-001967,obimd-glyph-link-029920,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-81cqeht6m8,󻐎,U+FB40E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001967-glyph-0012,obs-comp-cand-001967,obimd-glyph-link-029921,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-81cqeht6m8,󻐏,U+FB40F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001967-glyph-0013,obs-comp-cand-001967,obimd-glyph-link-029922,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-81cqeht6m8,󻐐,U+FB410,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001967-glyph-0014,obs-comp-cand-001967,obimd-glyph-link-029923,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-81cqeht6m8,󻐑,U+FB411,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001967-glyph-0015,obs-comp-cand-001967,obimd-glyph-link-029924,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-81cqeht6m8,󻐒,U+FB412,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001967-glyph-0016,obs-comp-cand-001967,obimd-glyph-link-029925,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-81cqeht6m8,󻐓,U+FB413,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
