glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001974-glyph-0001,obs-comp-cand-001974,obimd-glyph-link-030064,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k0355vw0w2,󻒵,U+FB4B5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001974-glyph-0002,obs-comp-cand-001974,obimd-glyph-link-030065,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k0355vw0w2,󻒶,U+FB4B6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001974-glyph-0003,obs-comp-cand-001974,obimd-glyph-link-030066,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k0355vw0w2,󻒷,U+FB4B7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001974-glyph-0004,obs-comp-cand-001974,obimd-glyph-link-030067,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k0355vw0w2,󻒸,U+FB4B8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001974-glyph-0005,obs-comp-cand-001974,obimd-glyph-link-030068,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k0355vw0w2,󻒹,U+FB4B9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001974-glyph-0006,obs-comp-cand-001974,obimd-glyph-link-030069,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k0355vw0w2,󻒺,U+FB4BA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001974-glyph-0007,obs-comp-cand-001974,obimd-glyph-link-030070,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k0355vw0w2,󻒻,U+FB4BB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001974-glyph-0008,obs-comp-cand-001974,obimd-glyph-link-030071,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k0355vw0w2,󻒼,U+FB4BC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001974-glyph-0009,obs-comp-cand-001974,obimd-glyph-link-030072,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k0355vw0w2,󻒽,U+FB4BD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001974-glyph-0010,obs-comp-cand-001974,obimd-glyph-link-030073,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k0355vw0w2,󻒾,U+FB4BE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001974-glyph-0011,obs-comp-cand-001974,obimd-glyph-link-030074,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k0355vw0w2,󻒿,U+FB4BF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001974-glyph-0012,obs-comp-cand-001974,obimd-glyph-link-030075,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k0355vw0w2,󻓀,U+FB4C0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001974-glyph-0013,obs-comp-cand-001974,obimd-glyph-link-030076,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k0355vw0w2,󻓁,U+FB4C1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001974-glyph-0014,obs-comp-cand-001974,obimd-glyph-link-030077,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k0355vw0w2,󻓂,U+FB4C2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001974-glyph-0015,obs-comp-cand-001974,obimd-glyph-link-030078,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k0355vw0w2,󻓃,U+FB4C3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
