glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001984-glyph-0001,obs-comp-cand-001984,obimd-glyph-link-030160,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qe26dg343r,帚󻖉,U+5E1A;U+FB589,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001984-glyph-0002,obs-comp-cand-001984,obimd-glyph-link-030161,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qe26dg343r,󻖊,U+FB58A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001984-glyph-0003,obs-comp-cand-001984,obimd-glyph-link-030162,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qe26dg343r,󻖋,U+FB58B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001984-glyph-0004,obs-comp-cand-001984,obimd-glyph-link-030163,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qe26dg343r,󻖌,U+FB58C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001984-glyph-0005,obs-comp-cand-001984,obimd-glyph-link-030164,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qe26dg343r,󻖍,U+FB58D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001984-glyph-0006,obs-comp-cand-001984,obimd-glyph-link-030165,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qe26dg343r,󻖎,U+FB58E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001984-glyph-0007,obs-comp-cand-001984,obimd-glyph-link-030166,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qe26dg343r,󻖏,U+FB58F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001984-glyph-0008,obs-comp-cand-001984,obimd-glyph-link-030167,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qe26dg343r,󻖐,U+FB590,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001984-glyph-0009,obs-comp-cand-001984,obimd-glyph-link-030168,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qe26dg343r,󻖑,U+FB591,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001984-glyph-0010,obs-comp-cand-001984,obimd-glyph-link-030169,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qe26dg343r,󻖒,U+FB592,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001984-glyph-0011,obs-comp-cand-001984,obimd-glyph-link-030170,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qe26dg343r,󻖓,U+FB593,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
