glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001991-glyph-0001,obs-comp-cand-001991,obimd-glyph-link-030271,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lyq3tnc036,򦶉󻘞,U+A6D89;U+FB61E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001991-glyph-0002,obs-comp-cand-001991,obimd-glyph-link-030272,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lyq3tnc036,󻘟,U+FB61F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001991-glyph-0003,obs-comp-cand-001991,obimd-glyph-link-030273,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lyq3tnc036,󻘠,U+FB620,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001991-glyph-0004,obs-comp-cand-001991,obimd-glyph-link-030274,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lyq3tnc036,󻘡,U+FB621,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001991-glyph-0005,obs-comp-cand-001991,obimd-glyph-link-030275,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lyq3tnc036,󻘢,U+FB622,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001991-glyph-0006,obs-comp-cand-001991,obimd-glyph-link-030276,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lyq3tnc036,󻘣,U+FB623,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001991-glyph-0007,obs-comp-cand-001991,obimd-glyph-link-030277,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lyq3tnc036,󻘤,U+FB624,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001991-glyph-0008,obs-comp-cand-001991,obimd-glyph-link-030278,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lyq3tnc036,󻘥,U+FB625,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001991-glyph-0009,obs-comp-cand-001991,obimd-glyph-link-030279,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lyq3tnc036,󻘦,U+FB626,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001991-glyph-0010,obs-comp-cand-001991,obimd-glyph-link-030280,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lyq3tnc036,󻘧,U+FB627,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001991-glyph-0011,obs-comp-cand-001991,obimd-glyph-link-030281,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lyq3tnc036,󻘨,U+FB628,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001991-glyph-0012,obs-comp-cand-001991,obimd-glyph-link-030282,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-lyq3tnc036,󻘩,U+FB629,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
