glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001995-glyph-0001,obs-comp-cand-001995,obimd-glyph-link-030299,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qtpfktwrdi,寢𡨦󻙢,U+5BE2;U+21A26;U+FB662,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001995-glyph-0002,obs-comp-cand-001995,obimd-glyph-link-030300,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qtpfktwrdi,󻙣,U+FB663,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001995-glyph-0003,obs-comp-cand-001995,obimd-glyph-link-030301,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qtpfktwrdi,󻙤,U+FB664,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001995-glyph-0004,obs-comp-cand-001995,obimd-glyph-link-030302,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qtpfktwrdi,󻙥,U+FB665,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001995-glyph-0005,obs-comp-cand-001995,obimd-glyph-link-030303,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qtpfktwrdi,󻙦,U+FB666,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001995-glyph-0006,obs-comp-cand-001995,obimd-glyph-link-030304,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qtpfktwrdi,󻙧,U+FB667,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001995-glyph-0007,obs-comp-cand-001995,obimd-glyph-link-030305,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qtpfktwrdi,󻙨,U+FB668,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001995-glyph-0008,obs-comp-cand-001995,obimd-glyph-link-030306,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qtpfktwrdi,󻙩,U+FB669,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001995-glyph-0009,obs-comp-cand-001995,obimd-glyph-link-030307,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qtpfktwrdi,󻙪,U+FB66A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001995-glyph-0010,obs-comp-cand-001995,obimd-glyph-link-030308,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qtpfktwrdi,󻙫,U+FB66B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001995-glyph-0011,obs-comp-cand-001995,obimd-glyph-link-030309,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qtpfktwrdi,󻙬,U+FB66C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
