glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002007-glyph-0001,obs-comp-cand-002007,obimd-glyph-link-030775,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,鬯󻡢,U+9B2F;U+FB862,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0002,obs-comp-cand-002007,obimd-glyph-link-030776,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻡣,U+FB863,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0003,obs-comp-cand-002007,obimd-glyph-link-030777,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻡤,U+FB864,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0004,obs-comp-cand-002007,obimd-glyph-link-030778,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻡥,U+FB865,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0005,obs-comp-cand-002007,obimd-glyph-link-030779,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻡦,U+FB866,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0006,obs-comp-cand-002007,obimd-glyph-link-030780,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻡧,U+FB867,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0007,obs-comp-cand-002007,obimd-glyph-link-030781,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻡨,U+FB868,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0008,obs-comp-cand-002007,obimd-glyph-link-030782,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻡩,U+FB869,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0009,obs-comp-cand-002007,obimd-glyph-link-030783,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻡪,U+FB86A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0010,obs-comp-cand-002007,obimd-glyph-link-030784,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻡫,U+FB86B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0011,obs-comp-cand-002007,obimd-glyph-link-030785,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻡬,U+FB86C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0012,obs-comp-cand-002007,obimd-glyph-link-030786,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻡭,U+FB86D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0013,obs-comp-cand-002007,obimd-glyph-link-030787,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻡮,U+FB86E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0014,obs-comp-cand-002007,obimd-glyph-link-030788,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻡯,U+FB86F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0015,obs-comp-cand-002007,obimd-glyph-link-030789,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻡰,U+FB870,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0016,obs-comp-cand-002007,obimd-glyph-link-030790,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻡱,U+FB871,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0017,obs-comp-cand-002007,obimd-glyph-link-030791,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻡲,U+FB872,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0018,obs-comp-cand-002007,obimd-glyph-link-030792,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻡳,U+FB873,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0019,obs-comp-cand-002007,obimd-glyph-link-030793,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻡴,U+FB874,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0020,obs-comp-cand-002007,obimd-glyph-link-030794,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻡵,U+FB875,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0021,obs-comp-cand-002007,obimd-glyph-link-030795,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻡶,U+FB876,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0022,obs-comp-cand-002007,obimd-glyph-link-030796,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻡷,U+FB877,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0023,obs-comp-cand-002007,obimd-glyph-link-030797,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻡸,U+FB878,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0024,obs-comp-cand-002007,obimd-glyph-link-030798,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻡹,U+FB879,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0025,obs-comp-cand-002007,obimd-glyph-link-030799,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻡺,U+FB87A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0026,obs-comp-cand-002007,obimd-glyph-link-030800,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻡻,U+FB87B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0027,obs-comp-cand-002007,obimd-glyph-link-030801,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻡼,U+FB87C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0028,obs-comp-cand-002007,obimd-glyph-link-030802,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻡽,U+FB87D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0029,obs-comp-cand-002007,obimd-glyph-link-030803,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻡾,U+FB87E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0030,obs-comp-cand-002007,obimd-glyph-link-030804,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻡿,U+FB87F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0031,obs-comp-cand-002007,obimd-glyph-link-030805,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻢀,U+FB880,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0032,obs-comp-cand-002007,obimd-glyph-link-030806,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻢁,U+FB881,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0033,obs-comp-cand-002007,obimd-glyph-link-030807,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻢂,U+FB882,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0034,obs-comp-cand-002007,obimd-glyph-link-030808,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻢃,U+FB883,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0035,obs-comp-cand-002007,obimd-glyph-link-030809,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻢄,U+FB884,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0036,obs-comp-cand-002007,obimd-glyph-link-030810,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻢅,U+FB885,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002007-glyph-0037,obs-comp-cand-002007,obimd-glyph-link-030811,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l4lq5esn5g,󻢆,U+FB886,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
