glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002020-glyph-0001,obs-comp-cand-002020,obimd-glyph-link-031070,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0mddg7btht,󻧞,U+FB9DE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002020-glyph-0002,obs-comp-cand-002020,obimd-glyph-link-031071,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0mddg7btht,󻧟,U+FB9DF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002020-glyph-0003,obs-comp-cand-002020,obimd-glyph-link-031072,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0mddg7btht,󻧠,U+FB9E0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002020-glyph-0004,obs-comp-cand-002020,obimd-glyph-link-031073,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0mddg7btht,󻧢,U+FB9E2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002020-glyph-0005,obs-comp-cand-002020,obimd-glyph-link-031074,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0mddg7btht,󻧣,U+FB9E3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002020-glyph-0006,obs-comp-cand-002020,obimd-glyph-link-031075,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0mddg7btht,󻧤,U+FB9E4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002020-glyph-0007,obs-comp-cand-002020,obimd-glyph-link-031076,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0mddg7btht,󻧥,U+FB9E5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002020-glyph-0008,obs-comp-cand-002020,obimd-glyph-link-031077,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0mddg7btht,󻧦,U+FB9E6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002020-glyph-0009,obs-comp-cand-002020,obimd-glyph-link-031078,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0mddg7btht,󻧧,U+FB9E7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002020-glyph-0010,obs-comp-cand-002020,obimd-glyph-link-031079,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0mddg7btht,󻧨,U+FB9E8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002020-glyph-0011,obs-comp-cand-002020,obimd-glyph-link-031080,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0mddg7btht,󻧪,U+FB9EA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002020-glyph-0012,obs-comp-cand-002020,obimd-glyph-link-031081,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0mddg7btht,󻧬,U+FB9EC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002020-glyph-0013,obs-comp-cand-002020,obimd-glyph-link-031082,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0mddg7btht,󻧮,U+FB9EE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
