glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002030-glyph-0001,obs-comp-cand-002030,obimd-glyph-link-031246,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-90zmojjf7j,廼迺󻫘,U+5EFC;U+8FFA;U+FBAD8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002030-glyph-0002,obs-comp-cand-002030,obimd-glyph-link-031247,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-90zmojjf7j,󻫙,U+FBAD9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002030-glyph-0003,obs-comp-cand-002030,obimd-glyph-link-031248,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-90zmojjf7j,󻫚,U+FBADA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002030-glyph-0004,obs-comp-cand-002030,obimd-glyph-link-031249,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-90zmojjf7j,󻫛,U+FBADB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002030-glyph-0005,obs-comp-cand-002030,obimd-glyph-link-031250,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-90zmojjf7j,󻫜,U+FBADC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002030-glyph-0006,obs-comp-cand-002030,obimd-glyph-link-031251,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-90zmojjf7j,󻫝,U+FBADD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002030-glyph-0007,obs-comp-cand-002030,obimd-glyph-link-031252,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-90zmojjf7j,󻫞,U+FBADE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002030-glyph-0008,obs-comp-cand-002030,obimd-glyph-link-031253,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-90zmojjf7j,󻫟,U+FBADF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002030-glyph-0009,obs-comp-cand-002030,obimd-glyph-link-031254,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-90zmojjf7j,󻫠,U+FBAE0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002030-glyph-0010,obs-comp-cand-002030,obimd-glyph-link-031255,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-90zmojjf7j,󻫢,U+FBAE2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002030-glyph-0011,obs-comp-cand-002030,obimd-glyph-link-031256,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-90zmojjf7j,󻫤,U+FBAE4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
