glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002042-glyph-0001,obs-comp-cand-002042,obimd-glyph-link-031376,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hhhqdevt02,󻯊,U+FBBCA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002042-glyph-0002,obs-comp-cand-002042,obimd-glyph-link-031377,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hhhqdevt02,󻯋,U+FBBCB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002042-glyph-0003,obs-comp-cand-002042,obimd-glyph-link-031378,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hhhqdevt02,󻯌,U+FBBCC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002042-glyph-0004,obs-comp-cand-002042,obimd-glyph-link-031379,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hhhqdevt02,󻯍,U+FBBCD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002042-glyph-0005,obs-comp-cand-002042,obimd-glyph-link-031380,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hhhqdevt02,󻯎,U+FBBCE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002042-glyph-0006,obs-comp-cand-002042,obimd-glyph-link-031381,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hhhqdevt02,󻯏,U+FBBCF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002042-glyph-0007,obs-comp-cand-002042,obimd-glyph-link-031382,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hhhqdevt02,󻯐,U+FBBD0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002042-glyph-0008,obs-comp-cand-002042,obimd-glyph-link-031383,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hhhqdevt02,󻯑,U+FBBD1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002042-glyph-0009,obs-comp-cand-002042,obimd-glyph-link-031384,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hhhqdevt02,󻯒,U+FBBD2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002042-glyph-0010,obs-comp-cand-002042,obimd-glyph-link-031385,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hhhqdevt02,󻯓,U+FBBD3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002042-glyph-0011,obs-comp-cand-002042,obimd-glyph-link-031386,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hhhqdevt02,󻯕,U+FBBD5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002042-glyph-0012,obs-comp-cand-002042,obimd-glyph-link-031387,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hhhqdevt02,󻯖,U+FBBD6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002042-glyph-0013,obs-comp-cand-002042,obimd-glyph-link-031388,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hhhqdevt02,󻯗,U+FBBD7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
