glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002043-glyph-0001,obs-comp-cand-002043,obimd-glyph-link-031389,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sj4e2q73so,狩獸򶬏󻯮,U+72E9;U+7378;U+B6B0F;U+FBBEE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002043-glyph-0002,obs-comp-cand-002043,obimd-glyph-link-031390,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sj4e2q73so,󻯯,U+FBBEF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002043-glyph-0003,obs-comp-cand-002043,obimd-glyph-link-031391,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sj4e2q73so,󻯰,U+FBBF0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002043-glyph-0004,obs-comp-cand-002043,obimd-glyph-link-031392,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sj4e2q73so,󻯱,U+FBBF1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002043-glyph-0005,obs-comp-cand-002043,obimd-glyph-link-031393,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sj4e2q73so,󻯲,U+FBBF2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002043-glyph-0006,obs-comp-cand-002043,obimd-glyph-link-031394,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sj4e2q73so,󻯳,U+FBBF3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002043-glyph-0007,obs-comp-cand-002043,obimd-glyph-link-031395,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sj4e2q73so,󻯴,U+FBBF4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002043-glyph-0008,obs-comp-cand-002043,obimd-glyph-link-031396,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sj4e2q73so,󻯵,U+FBBF5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002043-glyph-0009,obs-comp-cand-002043,obimd-glyph-link-031397,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sj4e2q73so,󻯶,U+FBBF6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002043-glyph-0010,obs-comp-cand-002043,obimd-glyph-link-031398,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sj4e2q73so,󻯷,U+FBBF7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002043-glyph-0011,obs-comp-cand-002043,obimd-glyph-link-031399,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sj4e2q73so,󻯸,U+FBBF8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002043-glyph-0012,obs-comp-cand-002043,obimd-glyph-link-031400,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sj4e2q73so,󻯹,U+FBBF9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002043-glyph-0013,obs-comp-cand-002043,obimd-glyph-link-031401,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sj4e2q73so,󻯺,U+FBBFA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002043-glyph-0014,obs-comp-cand-002043,obimd-glyph-link-031402,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sj4e2q73so,󻯻,U+FBBFB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002043-glyph-0015,obs-comp-cand-002043,obimd-glyph-link-031403,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sj4e2q73so,󻯼,U+FBBFC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002043-glyph-0016,obs-comp-cand-002043,obimd-glyph-link-031404,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sj4e2q73so,󻯽,U+FBBFD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002043-glyph-0017,obs-comp-cand-002043,obimd-glyph-link-031405,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sj4e2q73so,󻯾,U+FBBFE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
