glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002044-glyph-0001,obs-comp-cand-002044,obimd-glyph-link-031436,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gylityx9if,󻰠,U+FBC20,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002044-glyph-0002,obs-comp-cand-002044,obimd-glyph-link-031437,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gylityx9if,󻰡,U+FBC21,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002044-glyph-0003,obs-comp-cand-002044,obimd-glyph-link-031438,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gylityx9if,󻰢,U+FBC22,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002044-glyph-0004,obs-comp-cand-002044,obimd-glyph-link-031439,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gylityx9if,󻰣,U+FBC23,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002044-glyph-0005,obs-comp-cand-002044,obimd-glyph-link-031440,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gylityx9if,󻰤,U+FBC24,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002044-glyph-0006,obs-comp-cand-002044,obimd-glyph-link-031441,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gylityx9if,󻰥,U+FBC25,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002044-glyph-0007,obs-comp-cand-002044,obimd-glyph-link-031442,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gylityx9if,󻰦,U+FBC26,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002044-glyph-0008,obs-comp-cand-002044,obimd-glyph-link-031443,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gylityx9if,󻰧,U+FBC27,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002044-glyph-0009,obs-comp-cand-002044,obimd-glyph-link-031444,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gylityx9if,󻰨,U+FBC28,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002044-glyph-0010,obs-comp-cand-002044,obimd-glyph-link-031445,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gylityx9if,󻰩,U+FBC29,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002044-glyph-0011,obs-comp-cand-002044,obimd-glyph-link-031446,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gylityx9if,󻰪,U+FBC2A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002044-glyph-0012,obs-comp-cand-002044,obimd-glyph-link-031447,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gylityx9if,󻰫,U+FBC2B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002044-glyph-0013,obs-comp-cand-002044,obimd-glyph-link-031448,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gylityx9if,󻰬,U+FBC2C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002044-glyph-0014,obs-comp-cand-002044,obimd-glyph-link-031449,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gylityx9if,󻰭,U+FBC2D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002044-glyph-0015,obs-comp-cand-002044,obimd-glyph-link-031450,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gylityx9if,󻰮,U+FBC2E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002044-glyph-0016,obs-comp-cand-002044,obimd-glyph-link-031451,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gylityx9if,󻰯,U+FBC2F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002044-glyph-0017,obs-comp-cand-002044,obimd-glyph-link-031452,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gylityx9if,󻰰,U+FBC30,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002044-glyph-0018,obs-comp-cand-002044,obimd-glyph-link-031453,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gylityx9if,󻰱,U+FBC31,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002044-glyph-0019,obs-comp-cand-002044,obimd-glyph-link-031454,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gylityx9if,󻰲,U+FBC32,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002044-glyph-0020,obs-comp-cand-002044,obimd-glyph-link-031455,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gylityx9if,󻰳,U+FBC33,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002044-glyph-0021,obs-comp-cand-002044,obimd-glyph-link-031456,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gylityx9if,󻰴,U+FBC34,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002044-glyph-0022,obs-comp-cand-002044,obimd-glyph-link-031457,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gylityx9if,󻰵,U+FBC35,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002044-glyph-0023,obs-comp-cand-002044,obimd-glyph-link-031458,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gylityx9if,󻰶,U+FBC36,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
