glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002050-glyph-0001,obs-comp-cand-002050,obimd-glyph-link-031541,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gek2hvsfx5,󻲰,U+FBCB0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002050-glyph-0002,obs-comp-cand-002050,obimd-glyph-link-031542,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gek2hvsfx5,󻲱,U+FBCB1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002050-glyph-0003,obs-comp-cand-002050,obimd-glyph-link-031543,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gek2hvsfx5,󻲲,U+FBCB2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002050-glyph-0004,obs-comp-cand-002050,obimd-glyph-link-031544,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gek2hvsfx5,󻲳,U+FBCB3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002050-glyph-0005,obs-comp-cand-002050,obimd-glyph-link-031545,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gek2hvsfx5,󻲴,U+FBCB4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002050-glyph-0006,obs-comp-cand-002050,obimd-glyph-link-031546,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gek2hvsfx5,󻲵,U+FBCB5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002050-glyph-0007,obs-comp-cand-002050,obimd-glyph-link-031547,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gek2hvsfx5,󻲶,U+FBCB6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002050-glyph-0008,obs-comp-cand-002050,obimd-glyph-link-031548,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gek2hvsfx5,󻲷,U+FBCB7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002050-glyph-0009,obs-comp-cand-002050,obimd-glyph-link-031549,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gek2hvsfx5,󻲸,U+FBCB8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002050-glyph-0010,obs-comp-cand-002050,obimd-glyph-link-031550,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gek2hvsfx5,󻲹,U+FBCB9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002050-glyph-0011,obs-comp-cand-002050,obimd-glyph-link-031551,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gek2hvsfx5,󻲺,U+FBCBA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002050-glyph-0012,obs-comp-cand-002050,obimd-glyph-link-031552,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gek2hvsfx5,󻲻,U+FBCBB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
