glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002058-glyph-0001,obs-comp-cand-002058,obimd-glyph-link-031613,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ls6kprxw1j,誖𫻸򧈔󻴮,U+8A96;U+2BEF8;U+A7214;U+FBD2E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002058-glyph-0002,obs-comp-cand-002058,obimd-glyph-link-031614,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ls6kprxw1j,󻴯,U+FBD2F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002058-glyph-0003,obs-comp-cand-002058,obimd-glyph-link-031615,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ls6kprxw1j,󻴰,U+FBD30,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002058-glyph-0004,obs-comp-cand-002058,obimd-glyph-link-031616,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ls6kprxw1j,󻴱,U+FBD31,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002058-glyph-0005,obs-comp-cand-002058,obimd-glyph-link-031617,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ls6kprxw1j,󻴲,U+FBD32,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002058-glyph-0006,obs-comp-cand-002058,obimd-glyph-link-031618,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ls6kprxw1j,󻴳,U+FBD33,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002058-glyph-0007,obs-comp-cand-002058,obimd-glyph-link-031619,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ls6kprxw1j,󻴴,U+FBD34,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002058-glyph-0008,obs-comp-cand-002058,obimd-glyph-link-031620,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ls6kprxw1j,󻴶,U+FBD36,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002058-glyph-0009,obs-comp-cand-002058,obimd-glyph-link-031621,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ls6kprxw1j,󻴷,U+FBD37,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002058-glyph-0010,obs-comp-cand-002058,obimd-glyph-link-031622,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ls6kprxw1j,󻴸,U+FBD38,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002058-glyph-0011,obs-comp-cand-002058,obimd-glyph-link-031623,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ls6kprxw1j,󻴹,U+FBD39,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002058-glyph-0012,obs-comp-cand-002058,obimd-glyph-link-031624,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ls6kprxw1j,󻴺,U+FBD3A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002058-glyph-0013,obs-comp-cand-002058,obimd-glyph-link-031625,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ls6kprxw1j,󻴻,U+FBD3B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002058-glyph-0014,obs-comp-cand-002058,obimd-glyph-link-031626,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ls6kprxw1j,󻴼,U+FBD3C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002058-glyph-0015,obs-comp-cand-002058,obimd-glyph-link-031627,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ls6kprxw1j,󻴽,U+FBD3D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002058-glyph-0016,obs-comp-cand-002058,obimd-glyph-link-031628,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ls6kprxw1j,󻴾,U+FBD3E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002058-glyph-0017,obs-comp-cand-002058,obimd-glyph-link-031629,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ls6kprxw1j,󻴿,U+FBD3F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002058-glyph-0018,obs-comp-cand-002058,obimd-glyph-link-031630,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ls6kprxw1j,󻵀,U+FBD40,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002058-glyph-0019,obs-comp-cand-002058,obimd-glyph-link-031631,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ls6kprxw1j,󻵁,U+FBD41,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002058-glyph-0020,obs-comp-cand-002058,obimd-glyph-link-031632,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ls6kprxw1j,󻵂,U+FBD42,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002058-glyph-0021,obs-comp-cand-002058,obimd-glyph-link-031633,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ls6kprxw1j,󻵃,U+FBD43,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002058-glyph-0022,obs-comp-cand-002058,obimd-glyph-link-031634,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ls6kprxw1j,󻵄,U+FBD44,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002058-glyph-0023,obs-comp-cand-002058,obimd-glyph-link-031635,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ls6kprxw1j,󻵅,U+FBD45,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002058-glyph-0024,obs-comp-cand-002058,obimd-glyph-link-031636,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ls6kprxw1j,󻵆,U+FBD46,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002058-glyph-0025,obs-comp-cand-002058,obimd-glyph-link-031637,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ls6kprxw1j,󻵇,U+FBD47,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002058-glyph-0026,obs-comp-cand-002058,obimd-glyph-link-031638,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ls6kprxw1j,󻵈,U+FBD48,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002058-glyph-0027,obs-comp-cand-002058,obimd-glyph-link-031639,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ls6kprxw1j,󻵉,U+FBD49,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002058-glyph-0028,obs-comp-cand-002058,obimd-glyph-link-031640,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ls6kprxw1j,󻵊,U+FBD4A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
