glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002103-glyph-0001,obs-comp-cand-002103,obimd-glyph-link-032569,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ify8wp45mz,󼇚,U+FC1DA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002103-glyph-0002,obs-comp-cand-002103,obimd-glyph-link-032570,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ify8wp45mz,󼇛,U+FC1DB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002103-glyph-0003,obs-comp-cand-002103,obimd-glyph-link-032571,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ify8wp45mz,󼇜,U+FC1DC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002103-glyph-0004,obs-comp-cand-002103,obimd-glyph-link-032572,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ify8wp45mz,󼇝,U+FC1DD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002103-glyph-0005,obs-comp-cand-002103,obimd-glyph-link-032573,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ify8wp45mz,󼇞,U+FC1DE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002103-glyph-0006,obs-comp-cand-002103,obimd-glyph-link-032574,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ify8wp45mz,󼇟,U+FC1DF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002103-glyph-0007,obs-comp-cand-002103,obimd-glyph-link-032575,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ify8wp45mz,󼇠,U+FC1E0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002103-glyph-0008,obs-comp-cand-002103,obimd-glyph-link-032576,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ify8wp45mz,󼇡,U+FC1E1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002103-glyph-0009,obs-comp-cand-002103,obimd-glyph-link-032577,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ify8wp45mz,󼇢,U+FC1E2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002103-glyph-0010,obs-comp-cand-002103,obimd-glyph-link-032578,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ify8wp45mz,󼇣,U+FC1E3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
