glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002106-glyph-0001,obs-comp-cand-002106,obimd-glyph-link-032654,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-srhk7ugxm8,弋󼉡,U+5F0B;U+FC261,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002106-glyph-0002,obs-comp-cand-002106,obimd-glyph-link-032655,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-srhk7ugxm8,󼉤,U+FC264,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002106-glyph-0003,obs-comp-cand-002106,obimd-glyph-link-032656,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-srhk7ugxm8,󼉥,U+FC265,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002106-glyph-0004,obs-comp-cand-002106,obimd-glyph-link-032657,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-srhk7ugxm8,󼉦,U+FC266,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002106-glyph-0005,obs-comp-cand-002106,obimd-glyph-link-032658,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-srhk7ugxm8,󼉧,U+FC267,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002106-glyph-0006,obs-comp-cand-002106,obimd-glyph-link-032659,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-srhk7ugxm8,󼉨,U+FC268,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002106-glyph-0007,obs-comp-cand-002106,obimd-glyph-link-032660,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-srhk7ugxm8,󼉩,U+FC269,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002106-glyph-0008,obs-comp-cand-002106,obimd-glyph-link-032661,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-srhk7ugxm8,󼉪,U+FC26A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002106-glyph-0009,obs-comp-cand-002106,obimd-glyph-link-032662,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-srhk7ugxm8,󼉫,U+FC26B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002106-glyph-0010,obs-comp-cand-002106,obimd-glyph-link-032663,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-srhk7ugxm8,󼉬,U+FC26C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002106-glyph-0011,obs-comp-cand-002106,obimd-glyph-link-032664,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-srhk7ugxm8,󼉭,U+FC26D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002106-glyph-0012,obs-comp-cand-002106,obimd-glyph-link-032665,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-srhk7ugxm8,󼉮,U+FC26E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
