glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002117-glyph-0001,obs-comp-cand-002117,obimd-glyph-link-032815,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7gvythc7mi,戌󼍀,U+620C;U+FC340,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002117-glyph-0002,obs-comp-cand-002117,obimd-glyph-link-032816,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7gvythc7mi,󼍁,U+FC341,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002117-glyph-0003,obs-comp-cand-002117,obimd-glyph-link-032817,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7gvythc7mi,󼍂,U+FC342,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002117-glyph-0004,obs-comp-cand-002117,obimd-glyph-link-032818,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7gvythc7mi,󼍃,U+FC343,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002117-glyph-0005,obs-comp-cand-002117,obimd-glyph-link-032819,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7gvythc7mi,󼍄,U+FC344,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002117-glyph-0006,obs-comp-cand-002117,obimd-glyph-link-032820,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7gvythc7mi,󼍅,U+FC345,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002117-glyph-0007,obs-comp-cand-002117,obimd-glyph-link-032821,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7gvythc7mi,󼍆,U+FC346,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002117-glyph-0008,obs-comp-cand-002117,obimd-glyph-link-032822,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7gvythc7mi,󼍇,U+FC347,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002117-glyph-0009,obs-comp-cand-002117,obimd-glyph-link-032823,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7gvythc7mi,󼍈,U+FC348,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002117-glyph-0010,obs-comp-cand-002117,obimd-glyph-link-032824,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7gvythc7mi,󼍉,U+FC349,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002117-glyph-0011,obs-comp-cand-002117,obimd-glyph-link-032825,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7gvythc7mi,󼍊,U+FC34A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002117-glyph-0012,obs-comp-cand-002117,obimd-glyph-link-032826,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7gvythc7mi,󼍋,U+FC34B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002117-glyph-0013,obs-comp-cand-002117,obimd-glyph-link-032827,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7gvythc7mi,󼍌,U+FC34C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002117-glyph-0014,obs-comp-cand-002117,obimd-glyph-link-032828,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7gvythc7mi,󼍍,U+FC34D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002117-glyph-0015,obs-comp-cand-002117,obimd-glyph-link-032829,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7gvythc7mi,󼍎,U+FC34E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
