glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002150-glyph-0001,obs-comp-cand-002150,obimd-glyph-link-033396,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xb9vrr8bx6,󼘊,U+FC60A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002150-glyph-0002,obs-comp-cand-002150,obimd-glyph-link-033397,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xb9vrr8bx6,󼘋,U+FC60B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002150-glyph-0003,obs-comp-cand-002150,obimd-glyph-link-033398,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xb9vrr8bx6,󼘌,U+FC60C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002150-glyph-0004,obs-comp-cand-002150,obimd-glyph-link-033399,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xb9vrr8bx6,󼘍,U+FC60D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002150-glyph-0005,obs-comp-cand-002150,obimd-glyph-link-033400,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xb9vrr8bx6,󼘎,U+FC60E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002150-glyph-0006,obs-comp-cand-002150,obimd-glyph-link-033401,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xb9vrr8bx6,󼘏,U+FC60F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002150-glyph-0007,obs-comp-cand-002150,obimd-glyph-link-033402,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xb9vrr8bx6,󼘐,U+FC610,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002150-glyph-0008,obs-comp-cand-002150,obimd-glyph-link-033403,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xb9vrr8bx6,󼘑,U+FC611,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002150-glyph-0009,obs-comp-cand-002150,obimd-glyph-link-033404,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xb9vrr8bx6,󼘒,U+FC612,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002150-glyph-0010,obs-comp-cand-002150,obimd-glyph-link-033405,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xb9vrr8bx6,󼘓,U+FC613,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
