glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002159-glyph-0001,obs-comp-cand-002159,obimd-glyph-link-033663,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-u3lh7tekno,寅󼜳,U+5BC5;U+FC733,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002159-glyph-0002,obs-comp-cand-002159,obimd-glyph-link-033664,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-u3lh7tekno,󼜴,U+FC734,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002159-glyph-0003,obs-comp-cand-002159,obimd-glyph-link-033665,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-u3lh7tekno,󼜵,U+FC735,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002159-glyph-0004,obs-comp-cand-002159,obimd-glyph-link-033666,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-u3lh7tekno,󼜶,U+FC736,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002159-glyph-0005,obs-comp-cand-002159,obimd-glyph-link-033667,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-u3lh7tekno,󼜷,U+FC737,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002159-glyph-0006,obs-comp-cand-002159,obimd-glyph-link-033668,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-u3lh7tekno,󼜸,U+FC738,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002159-glyph-0007,obs-comp-cand-002159,obimd-glyph-link-033669,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-u3lh7tekno,󼜹,U+FC739,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002159-glyph-0008,obs-comp-cand-002159,obimd-glyph-link-033670,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-u3lh7tekno,󼜺,U+FC73A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002159-glyph-0009,obs-comp-cand-002159,obimd-glyph-link-033671,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-u3lh7tekno,󼜻,U+FC73B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002159-glyph-0010,obs-comp-cand-002159,obimd-glyph-link-033672,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-u3lh7tekno,󼜼,U+FC73C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002159-glyph-0011,obs-comp-cand-002159,obimd-glyph-link-033673,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-u3lh7tekno,󼜽,U+FC73D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002159-glyph-0012,obs-comp-cand-002159,obimd-glyph-link-033674,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-u3lh7tekno,󼜾,U+FC73E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002159-glyph-0013,obs-comp-cand-002159,obimd-glyph-link-033675,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-u3lh7tekno,󼜿,U+FC73F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002159-glyph-0014,obs-comp-cand-002159,obimd-glyph-link-033676,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-u3lh7tekno,󼝀,U+FC740,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002159-glyph-0015,obs-comp-cand-002159,obimd-glyph-link-033677,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-u3lh7tekno,󼝁,U+FC741,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002159-glyph-0016,obs-comp-cand-002159,obimd-glyph-link-033678,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-u3lh7tekno,󼝂,U+FC742,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002159-glyph-0017,obs-comp-cand-002159,obimd-glyph-link-033679,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-u3lh7tekno,󼝃,U+FC743,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002159-glyph-0018,obs-comp-cand-002159,obimd-glyph-link-033680,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-u3lh7tekno,󼝄,U+FC744,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002159-glyph-0019,obs-comp-cand-002159,obimd-glyph-link-033681,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-u3lh7tekno,󼝅,U+FC745,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002159-glyph-0020,obs-comp-cand-002159,obimd-glyph-link-033682,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-u3lh7tekno,󼝆,U+FC746,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
