glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002170-glyph-0001,obs-comp-cand-002170,obimd-glyph-link-033774,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-q4rk3syf2x,至󼞽,U+81F3;U+FC7BD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002170-glyph-0002,obs-comp-cand-002170,obimd-glyph-link-033775,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-q4rk3syf2x,󼞾,U+FC7BE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002170-glyph-0003,obs-comp-cand-002170,obimd-glyph-link-033776,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-q4rk3syf2x,󼞿,U+FC7BF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002170-glyph-0004,obs-comp-cand-002170,obimd-glyph-link-033777,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-q4rk3syf2x,󼟀,U+FC7C0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002170-glyph-0005,obs-comp-cand-002170,obimd-glyph-link-033778,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-q4rk3syf2x,󼟁,U+FC7C1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002170-glyph-0006,obs-comp-cand-002170,obimd-glyph-link-033779,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-q4rk3syf2x,󼟂,U+FC7C2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002170-glyph-0007,obs-comp-cand-002170,obimd-glyph-link-033780,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-q4rk3syf2x,󼟃,U+FC7C3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002170-glyph-0008,obs-comp-cand-002170,obimd-glyph-link-033781,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-q4rk3syf2x,󼟄,U+FC7C4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002170-glyph-0009,obs-comp-cand-002170,obimd-glyph-link-033782,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-q4rk3syf2x,󼟅,U+FC7C5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002170-glyph-0010,obs-comp-cand-002170,obimd-glyph-link-033783,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-q4rk3syf2x,󼟆,U+FC7C6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002170-glyph-0011,obs-comp-cand-002170,obimd-glyph-link-033784,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-q4rk3syf2x,󼟇,U+FC7C7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
