glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002177-glyph-0001,obs-comp-cand-002177,obimd-glyph-link-033859,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e8qibnliym,侯𥎦󼡖,U+4FAF;U+253A6;U+FC856,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002177-glyph-0002,obs-comp-cand-002177,obimd-glyph-link-033860,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e8qibnliym,󼡗,U+FC857,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002177-glyph-0003,obs-comp-cand-002177,obimd-glyph-link-033861,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e8qibnliym,󼡘,U+FC858,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002177-glyph-0004,obs-comp-cand-002177,obimd-glyph-link-033862,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e8qibnliym,󼡙,U+FC859,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002177-glyph-0005,obs-comp-cand-002177,obimd-glyph-link-033863,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e8qibnliym,󼡚,U+FC85A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002177-glyph-0006,obs-comp-cand-002177,obimd-glyph-link-033864,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e8qibnliym,󼡛,U+FC85B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002177-glyph-0007,obs-comp-cand-002177,obimd-glyph-link-033865,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e8qibnliym,󼡜,U+FC85C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002177-glyph-0008,obs-comp-cand-002177,obimd-glyph-link-033866,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e8qibnliym,󼡝,U+FC85D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002177-glyph-0009,obs-comp-cand-002177,obimd-glyph-link-033867,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e8qibnliym,󼡞,U+FC85E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002177-glyph-0010,obs-comp-cand-002177,obimd-glyph-link-033868,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e8qibnliym,󼡟,U+FC85F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002177-glyph-0011,obs-comp-cand-002177,obimd-glyph-link-033869,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e8qibnliym,󼡠,U+FC860,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
