glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002185-glyph-0001,obs-comp-cand-002185,obimd-glyph-link-033975,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kyjr61sdkq,朿󼤶,U+673F;U+FC936,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002185-glyph-0002,obs-comp-cand-002185,obimd-glyph-link-033976,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kyjr61sdkq,󼤷,U+FC937,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002185-glyph-0003,obs-comp-cand-002185,obimd-glyph-link-033977,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kyjr61sdkq,󼤸,U+FC938,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002185-glyph-0004,obs-comp-cand-002185,obimd-glyph-link-033978,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kyjr61sdkq,󼤹,U+FC939,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002185-glyph-0005,obs-comp-cand-002185,obimd-glyph-link-033979,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kyjr61sdkq,󼤺,U+FC93A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002185-glyph-0006,obs-comp-cand-002185,obimd-glyph-link-033980,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kyjr61sdkq,󼤻,U+FC93B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002185-glyph-0007,obs-comp-cand-002185,obimd-glyph-link-033981,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kyjr61sdkq,󼤼,U+FC93C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002185-glyph-0008,obs-comp-cand-002185,obimd-glyph-link-033982,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kyjr61sdkq,󼤽,U+FC93D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002185-glyph-0009,obs-comp-cand-002185,obimd-glyph-link-033983,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kyjr61sdkq,󼤾,U+FC93E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002185-glyph-0010,obs-comp-cand-002185,obimd-glyph-link-033984,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kyjr61sdkq,󼤿,U+FC93F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002185-glyph-0011,obs-comp-cand-002185,obimd-glyph-link-033985,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kyjr61sdkq,󼥀,U+FC940,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
