glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002188-glyph-0001,obs-comp-cand-002188,obimd-glyph-link-034020,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tyipd0bhec,󼥮,U+FC96E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002188-glyph-0002,obs-comp-cand-002188,obimd-glyph-link-034021,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tyipd0bhec,󼥯,U+FC96F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002188-glyph-0003,obs-comp-cand-002188,obimd-glyph-link-034022,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tyipd0bhec,󼥰,U+FC970,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002188-glyph-0004,obs-comp-cand-002188,obimd-glyph-link-034023,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tyipd0bhec,󼥱,U+FC971,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002188-glyph-0005,obs-comp-cand-002188,obimd-glyph-link-034024,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tyipd0bhec,󼥲,U+FC972,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002188-glyph-0006,obs-comp-cand-002188,obimd-glyph-link-034025,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tyipd0bhec,󼥳,U+FC973,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002188-glyph-0007,obs-comp-cand-002188,obimd-glyph-link-034026,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tyipd0bhec,󼥴,U+FC974,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002188-glyph-0008,obs-comp-cand-002188,obimd-glyph-link-034027,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tyipd0bhec,󼥵,U+FC975,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002188-glyph-0009,obs-comp-cand-002188,obimd-glyph-link-034028,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tyipd0bhec,󼥶,U+FC976,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002188-glyph-0010,obs-comp-cand-002188,obimd-glyph-link-034029,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tyipd0bhec,󼥷,U+FC977,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
