glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002208-glyph-0001,obs-comp-cand-002208,obimd-glyph-link-034324,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dc2yeai9wr,刜󼭘,U+521C;U+FCB58,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002208-glyph-0002,obs-comp-cand-002208,obimd-glyph-link-034325,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dc2yeai9wr,󼭙,U+FCB59,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002208-glyph-0003,obs-comp-cand-002208,obimd-glyph-link-034326,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dc2yeai9wr,󼭚,U+FCB5A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002208-glyph-0004,obs-comp-cand-002208,obimd-glyph-link-034327,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dc2yeai9wr,󼭛,U+FCB5B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002208-glyph-0005,obs-comp-cand-002208,obimd-glyph-link-034328,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dc2yeai9wr,󼭜,U+FCB5C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002208-glyph-0006,obs-comp-cand-002208,obimd-glyph-link-034329,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dc2yeai9wr,󼭝,U+FCB5D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002208-glyph-0007,obs-comp-cand-002208,obimd-glyph-link-034330,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dc2yeai9wr,󼭞,U+FCB5E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002208-glyph-0008,obs-comp-cand-002208,obimd-glyph-link-034331,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dc2yeai9wr,󼭟,U+FCB5F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002208-glyph-0009,obs-comp-cand-002208,obimd-glyph-link-034332,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dc2yeai9wr,󼭠,U+FCB60,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002208-glyph-0010,obs-comp-cand-002208,obimd-glyph-link-034333,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dc2yeai9wr,󼭡,U+FCB61,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002208-glyph-0011,obs-comp-cand-002208,obimd-glyph-link-034334,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dc2yeai9wr,󼭢,U+FCB62,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
