glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002222-glyph-0001,obs-comp-cand-002222,obimd-glyph-link-034422,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-m74006xplh,畫򿎂󼲑,U+756B;U+BF382;U+FCC91,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002222-glyph-0002,obs-comp-cand-002222,obimd-glyph-link-034423,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-m74006xplh,󼲒,U+FCC92,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002222-glyph-0003,obs-comp-cand-002222,obimd-glyph-link-034424,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-m74006xplh,󼲓,U+FCC93,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002222-glyph-0004,obs-comp-cand-002222,obimd-glyph-link-034425,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-m74006xplh,󼲔,U+FCC94,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002222-glyph-0005,obs-comp-cand-002222,obimd-glyph-link-034426,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-m74006xplh,󼲕,U+FCC95,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002222-glyph-0006,obs-comp-cand-002222,obimd-glyph-link-034427,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-m74006xplh,󼲖,U+FCC96,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002222-glyph-0007,obs-comp-cand-002222,obimd-glyph-link-034428,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-m74006xplh,󼲗,U+FCC97,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002222-glyph-0008,obs-comp-cand-002222,obimd-glyph-link-034429,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-m74006xplh,󼲘,U+FCC98,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002222-glyph-0009,obs-comp-cand-002222,obimd-glyph-link-034430,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-m74006xplh,󼲙,U+FCC99,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002222-glyph-0010,obs-comp-cand-002222,obimd-glyph-link-034431,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-m74006xplh,󼲚,U+FCC9A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002222-glyph-0011,obs-comp-cand-002222,obimd-glyph-link-034432,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-m74006xplh,󼲛,U+FCC9B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002222-glyph-0012,obs-comp-cand-002222,obimd-glyph-link-034433,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-m74006xplh,󼲜,U+FCC9C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002222-glyph-0013,obs-comp-cand-002222,obimd-glyph-link-034434,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-m74006xplh,󼲝,U+FCC9D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002222-glyph-0014,obs-comp-cand-002222,obimd-glyph-link-034435,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-m74006xplh,󼲞,U+FCC9E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002222-glyph-0015,obs-comp-cand-002222,obimd-glyph-link-034436,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-m74006xplh,󼲟,U+FCC9F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
