glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002227-glyph-0001,obs-comp-cand-002227,obimd-glyph-link-034509,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bru91s7d68,劦󼳽,U+52A6;U+FCCFD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002227-glyph-0002,obs-comp-cand-002227,obimd-glyph-link-034510,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bru91s7d68,󼳾,U+FCCFE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002227-glyph-0003,obs-comp-cand-002227,obimd-glyph-link-034511,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bru91s7d68,󼳿,U+FCCFF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002227-glyph-0004,obs-comp-cand-002227,obimd-glyph-link-034512,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bru91s7d68,󼴀,U+FCD00,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002227-glyph-0005,obs-comp-cand-002227,obimd-glyph-link-034513,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bru91s7d68,󼴁,U+FCD01,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002227-glyph-0006,obs-comp-cand-002227,obimd-glyph-link-034514,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bru91s7d68,󼴂,U+FCD02,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002227-glyph-0007,obs-comp-cand-002227,obimd-glyph-link-034515,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bru91s7d68,󼴃,U+FCD03,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002227-glyph-0008,obs-comp-cand-002227,obimd-glyph-link-034516,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bru91s7d68,󼴄,U+FCD04,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002227-glyph-0009,obs-comp-cand-002227,obimd-glyph-link-034517,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bru91s7d68,󼴅,U+FCD05,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002227-glyph-0010,obs-comp-cand-002227,obimd-glyph-link-034518,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bru91s7d68,󼴆,U+FCD06,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002227-glyph-0011,obs-comp-cand-002227,obimd-glyph-link-034519,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bru91s7d68,󼴇,U+FCD07,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002227-glyph-0012,obs-comp-cand-002227,obimd-glyph-link-034520,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bru91s7d68,󼴈,U+FCD08,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
