glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002247-glyph-0001,obs-comp-cand-002247,obimd-glyph-link-034756,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-65i2zmqjqy,㚔󼺦,U+3694;U+FCEA6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002247-glyph-0002,obs-comp-cand-002247,obimd-glyph-link-034757,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-65i2zmqjqy,󼺧,U+FCEA7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002247-glyph-0003,obs-comp-cand-002247,obimd-glyph-link-034758,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-65i2zmqjqy,󼺨,U+FCEA8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002247-glyph-0004,obs-comp-cand-002247,obimd-glyph-link-034759,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-65i2zmqjqy,󼺩,U+FCEA9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002247-glyph-0005,obs-comp-cand-002247,obimd-glyph-link-034760,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-65i2zmqjqy,󼺪,U+FCEAA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002247-glyph-0006,obs-comp-cand-002247,obimd-glyph-link-034761,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-65i2zmqjqy,󼺫,U+FCEAB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002247-glyph-0007,obs-comp-cand-002247,obimd-glyph-link-034762,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-65i2zmqjqy,󼺬,U+FCEAC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002247-glyph-0008,obs-comp-cand-002247,obimd-glyph-link-034763,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-65i2zmqjqy,󼺭,U+FCEAD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002247-glyph-0009,obs-comp-cand-002247,obimd-glyph-link-034764,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-65i2zmqjqy,󼺮,U+FCEAE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002247-glyph-0010,obs-comp-cand-002247,obimd-glyph-link-034765,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-65i2zmqjqy,󼺯,U+FCEAF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002247-glyph-0011,obs-comp-cand-002247,obimd-glyph-link-034766,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-65i2zmqjqy,󼺰,U+FCEB0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
