glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002250-glyph-0001,obs-comp-cand-002250,obimd-glyph-link-034802,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nl01qlwuoi,򧔹󼻼,U+A7539;U+FCEFC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002250-glyph-0002,obs-comp-cand-002250,obimd-glyph-link-034803,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nl01qlwuoi,󼻽,U+FCEFD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002250-glyph-0003,obs-comp-cand-002250,obimd-glyph-link-034804,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nl01qlwuoi,󼻾,U+FCEFE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002250-glyph-0004,obs-comp-cand-002250,obimd-glyph-link-034805,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nl01qlwuoi,󼻿,U+FCEFF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002250-glyph-0005,obs-comp-cand-002250,obimd-glyph-link-034806,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nl01qlwuoi,󼼀,U+FCF00,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002250-glyph-0006,obs-comp-cand-002250,obimd-glyph-link-034807,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nl01qlwuoi,󼼁,U+FCF01,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002250-glyph-0007,obs-comp-cand-002250,obimd-glyph-link-034808,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nl01qlwuoi,󼼂,U+FCF02,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002250-glyph-0008,obs-comp-cand-002250,obimd-glyph-link-034809,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nl01qlwuoi,󼼃,U+FCF03,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002250-glyph-0009,obs-comp-cand-002250,obimd-glyph-link-034810,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nl01qlwuoi,󼼄,U+FCF04,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002250-glyph-0010,obs-comp-cand-002250,obimd-glyph-link-034811,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nl01qlwuoi,󼼅,U+FCF05,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002250-glyph-0011,obs-comp-cand-002250,obimd-glyph-link-034812,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nl01qlwuoi,󼼆,U+FCF06,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
