visual_index_id,candidate_component_id,asset_id,source_id,evidence_download_id,subcharacter_external_ref_id,source_zip_member,local_asset_path,file_size_bytes,image_format,pixel_width,pixel_height,color_mode,dpi_x,dpi_y,icc_profile_bytes,checksum_sha256,rights_status,review_status,caution,updated_at
obs-comp-cand-002265-visual-0001,obs-comp-cand-002265,asset-020106,src-obimd,dl-obimd-subcharacter-images,obimd-sub-0arw3hwi55,Sub-character Images/m2w1k92a5a/0arw3hwi55/0arw3hwi55.png,corpus/003_graphemic-components/023_002201-002300_obs-comp-cand-bucket_component-candidates/2265_obs-comp-cand-002265_obimd-sub-0arw3hwi55_component-candidate/05_component-visual-assets/001_asset-020106_img.png,2898,PNG,250,250,L,,,0,0d36c4e5b33f4fa4c80bb2153bd281208f542b40ace283c3cd3edd48c4d560ac,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-002265-visual-0002,obs-comp-cand-002265,asset-020107,src-obimd,dl-obimd-subcharacter-images,obimd-sub-0arw3hwi55,Sub-character Images/m2w1k92a5a/0arw3hwi55/1lp4irukaa.png,corpus/003_graphemic-components/023_002201-002300_obs-comp-cand-bucket_component-candidates/2265_obs-comp-cand-002265_obimd-sub-0arw3hwi55_component-candidate/05_component-visual-assets/002_asset-020107_img.png,2903,PNG,250,250,L,,,0,9b4c6620803ea1a1a1bf6657c242a6885febcf8d8a1c527baba9aa97ad09d406,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-002265-visual-0003,obs-comp-cand-002265,asset-020108,src-obimd,dl-obimd-subcharacter-images,obimd-sub-0arw3hwi55,Sub-character Images/m2w1k92a5a/0arw3hwi55/2io0rn3j7z.png,corpus/003_graphemic-components/023_002201-002300_obs-comp-cand-bucket_component-candidates/2265_obs-comp-cand-002265_obimd-sub-0arw3hwi55_component-candidate/05_component-visual-assets/003_asset-020108_img.png,3172,PNG,250,250,L,,,0,d0df026be669f9adf13627f0233a5081864abfabe5b4a5cb810c49e26af24c70,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-002265-visual-0004,obs-comp-cand-002265,asset-020109,src-obimd,dl-obimd-subcharacter-images,obimd-sub-0arw3hwi55,Sub-character Images/m2w1k92a5a/0arw3hwi55/3bmu1cflf3.png,corpus/003_graphemic-components/023_002201-002300_obs-comp-cand-bucket_component-candidates/2265_obs-comp-cand-002265_obimd-sub-0arw3hwi55_component-candidate/05_component-visual-assets/004_asset-020109_img.png,3146,PNG,250,250,L,,,0,89065877a3ce27095bb73599911be8e8c93f992bb80c34863c2fc282453d85d2,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-002265-visual-0005,obs-comp-cand-002265,asset-020110,src-obimd,dl-obimd-subcharacter-images,obimd-sub-0arw3hwi55,Sub-character Images/m2w1k92a5a/0arw3hwi55/3byqzwu2i6.png,corpus/003_graphemic-components/023_002201-002300_obs-comp-cand-bucket_component-candidates/2265_obs-comp-cand-002265_obimd-sub-0arw3hwi55_component-candidate/05_component-visual-assets/005_asset-020110_img.png,3125,PNG,250,250,L,,,0,1a61a489269469cc8a7aa281c767da5f3d7111f4f0c8343d4f1c99bf95846778,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-002265-visual-0006,obs-comp-cand-002265,asset-020111,src-obimd,dl-obimd-subcharacter-images,obimd-sub-0arw3hwi55,Sub-character Images/m2w1k92a5a/0arw3hwi55/3ed731pzk6.png,corpus/003_graphemic-components/023_002201-002300_obs-comp-cand-bucket_component-candidates/2265_obs-comp-cand-002265_obimd-sub-0arw3hwi55_component-candidate/05_component-visual-assets/006_asset-020111_img.png,2780,PNG,250,250,L,,,0,dba9862e1a70ba95a14ac629024ed7d2da61bef151c4d01243b5496cd304d2e7,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-002265-visual-0007,obs-comp-cand-002265,asset-020112,src-obimd,dl-obimd-subcharacter-images,obimd-sub-0arw3hwi55,Sub-character Images/m2w1k92a5a/0arw3hwi55/55g4xcp1j6.png,corpus/003_graphemic-components/023_002201-002300_obs-comp-cand-bucket_component-candidates/2265_obs-comp-cand-002265_obimd-sub-0arw3hwi55_component-candidate/05_component-visual-assets/007_asset-020112_img.png,3321,PNG,250,250,L,,,0,8d9f1cf0fffaf8cd22cad92954c5e67c35a13a0ccf0fe8d27634661f6458cb07,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-002265-visual-0008,obs-comp-cand-002265,asset-020113,src-obimd,dl-obimd-subcharacter-images,obimd-sub-0arw3hwi55,Sub-character Images/m2w1k92a5a/0arw3hwi55/7cwmq0xijf.png,corpus/003_graphemic-components/023_002201-002300_obs-comp-cand-bucket_component-candidates/2265_obs-comp-cand-002265_obimd-sub-0arw3hwi55_component-candidate/05_component-visual-assets/008_asset-020113_img.png,3495,PNG,250,250,L,,,0,6ec44ae9ccbc6d174834038d163caf010cdc9f04e9911f2d0a58aae4e4a90129,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-002265-visual-0009,obs-comp-cand-002265,asset-020114,src-obimd,dl-obimd-subcharacter-images,obimd-sub-0arw3hwi55,Sub-character Images/m2w1k92a5a/0arw3hwi55/7swq6rxn7h.png,corpus/003_graphemic-components/023_002201-002300_obs-comp-cand-bucket_component-candidates/2265_obs-comp-cand-002265_obimd-sub-0arw3hwi55_component-candidate/05_component-visual-assets/009_asset-020114_img.png,3056,PNG,250,250,L,,,0,4f2848ea32faa44dd5194d190f0ac0f0b01b78b923ad664cd741b9aa4501a1f4,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-002265-visual-0010,obs-comp-cand-002265,asset-020115,src-obimd,dl-obimd-subcharacter-images,obimd-sub-0arw3hwi55,Sub-character Images/m2w1k92a5a/0arw3hwi55/88hz5sf0gd.png,corpus/003_graphemic-components/023_002201-002300_obs-comp-cand-bucket_component-candidates/2265_obs-comp-cand-002265_obimd-sub-0arw3hwi55_component-candidate/05_component-visual-assets/010_asset-020115_img.png,2747,PNG,250,250,L,,,0,6cc189f1ca1d4e5898db1d63eab095801321556794c6868adb0801544acf94a9,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
