glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002269-glyph-0001,obs-comp-cand-002269,obimd-glyph-link-035097,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mvfn7g0qwu,𪧭󽃅,U+2A9ED;U+FD0C5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002269-glyph-0002,obs-comp-cand-002269,obimd-glyph-link-035098,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mvfn7g0qwu,󽃆,U+FD0C6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002269-glyph-0003,obs-comp-cand-002269,obimd-glyph-link-035099,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mvfn7g0qwu,󽃇,U+FD0C7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002269-glyph-0004,obs-comp-cand-002269,obimd-glyph-link-035100,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mvfn7g0qwu,󽃈,U+FD0C8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002269-glyph-0005,obs-comp-cand-002269,obimd-glyph-link-035101,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mvfn7g0qwu,󽃉,U+FD0C9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002269-glyph-0006,obs-comp-cand-002269,obimd-glyph-link-035102,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mvfn7g0qwu,󽃊,U+FD0CA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002269-glyph-0007,obs-comp-cand-002269,obimd-glyph-link-035103,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mvfn7g0qwu,󽃋,U+FD0CB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002269-glyph-0008,obs-comp-cand-002269,obimd-glyph-link-035104,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mvfn7g0qwu,󽃌,U+FD0CC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002269-glyph-0009,obs-comp-cand-002269,obimd-glyph-link-035105,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mvfn7g0qwu,󽃍,U+FD0CD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002269-glyph-0010,obs-comp-cand-002269,obimd-glyph-link-035106,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mvfn7g0qwu,󽃎,U+FD0CE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002269-glyph-0011,obs-comp-cand-002269,obimd-glyph-link-035107,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mvfn7g0qwu,󽃏,U+FD0CF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
