glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002271-glyph-0001,obs-comp-cand-002271,obimd-glyph-link-035119,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-b9u9sk93vy,遲𢕌󽃨,U+9072;U+2254C;U+FD0E8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002271-glyph-0002,obs-comp-cand-002271,obimd-glyph-link-035120,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-b9u9sk93vy,󽃩,U+FD0E9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002271-glyph-0003,obs-comp-cand-002271,obimd-glyph-link-035121,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-b9u9sk93vy,󽃪,U+FD0EA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002271-glyph-0004,obs-comp-cand-002271,obimd-glyph-link-035122,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-b9u9sk93vy,󽃫,U+FD0EB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002271-glyph-0005,obs-comp-cand-002271,obimd-glyph-link-035123,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-b9u9sk93vy,󽃬,U+FD0EC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002271-glyph-0006,obs-comp-cand-002271,obimd-glyph-link-035124,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-b9u9sk93vy,󽃭,U+FD0ED,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002271-glyph-0007,obs-comp-cand-002271,obimd-glyph-link-035125,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-b9u9sk93vy,󽃮,U+FD0EE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002271-glyph-0008,obs-comp-cand-002271,obimd-glyph-link-035126,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-b9u9sk93vy,󽃯,U+FD0EF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002271-glyph-0009,obs-comp-cand-002271,obimd-glyph-link-035127,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-b9u9sk93vy,󽃰,U+FD0F0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002271-glyph-0010,obs-comp-cand-002271,obimd-glyph-link-035128,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-b9u9sk93vy,󽃱,U+FD0F1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002271-glyph-0011,obs-comp-cand-002271,obimd-glyph-link-035129,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-b9u9sk93vy,󽃲,U+FD0F2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
