visual_index_id,candidate_component_id,asset_id,source_id,evidence_download_id,subcharacter_external_ref_id,source_zip_member,local_asset_path,file_size_bytes,image_format,pixel_width,pixel_height,color_mode,dpi_x,dpi_y,icc_profile_bytes,checksum_sha256,rights_status,review_status,caution,updated_at
obs-comp-cand-002288-visual-0001,obs-comp-cand-002288,asset-020172,src-obimd,dl-obimd-subcharacter-images,obimd-sub-4lgdy5a4ta,Sub-character Images/4lgdy5a4ta/4lgdy5a4ta/0v7r6lmr02.png,corpus/003_graphemic-components/023_002201-002300_obs-comp-cand-bucket_component-candidates/2288_obs-comp-cand-002288_obimd-sub-4lgdy5a4ta_component-candidate/05_component-visual-assets/001_asset-020172_img.png,4354,PNG,250,250,L,,,0,66645e705b88fe1a49ff4037156b34f74948da90656c28e3263f7d2f9bdebaee,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-002288-visual-0002,obs-comp-cand-002288,asset-020173,src-obimd,dl-obimd-subcharacter-images,obimd-sub-4lgdy5a4ta,Sub-character Images/4lgdy5a4ta/4lgdy5a4ta/16bg3ozunr.png,corpus/003_graphemic-components/023_002201-002300_obs-comp-cand-bucket_component-candidates/2288_obs-comp-cand-002288_obimd-sub-4lgdy5a4ta_component-candidate/05_component-visual-assets/002_asset-020173_img.png,4286,PNG,250,250,L,,,0,b38a603a2c7cabc0c45c3bf11992363c8bb76f98932d22bde434029779e823af,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-002288-visual-0003,obs-comp-cand-002288,asset-020174,src-obimd,dl-obimd-subcharacter-images,obimd-sub-4lgdy5a4ta,Sub-character Images/4lgdy5a4ta/4lgdy5a4ta/1gc38kkktj.png,corpus/003_graphemic-components/023_002201-002300_obs-comp-cand-bucket_component-candidates/2288_obs-comp-cand-002288_obimd-sub-4lgdy5a4ta_component-candidate/05_component-visual-assets/003_asset-020174_img.png,3491,PNG,250,250,L,,,0,4ab6baff782a98f6f49215dd3f4b1f51d81e961bc720fe0cfba92b0bdf38be88,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-002288-visual-0004,obs-comp-cand-002288,asset-020175,src-obimd,dl-obimd-subcharacter-images,obimd-sub-4lgdy5a4ta,Sub-character Images/4lgdy5a4ta/4lgdy5a4ta/1h88bk309x.png,corpus/003_graphemic-components/023_002201-002300_obs-comp-cand-bucket_component-candidates/2288_obs-comp-cand-002288_obimd-sub-4lgdy5a4ta_component-candidate/05_component-visual-assets/004_asset-020175_img.png,3702,PNG,250,250,L,,,0,339015c764ca1d695809a2097b2b644c2e72ad63aab9d8e01191470138def1dc,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-002288-visual-0005,obs-comp-cand-002288,asset-020176,src-obimd,dl-obimd-subcharacter-images,obimd-sub-4lgdy5a4ta,Sub-character Images/4lgdy5a4ta/4lgdy5a4ta/1wdjbinpco.png,corpus/003_graphemic-components/023_002201-002300_obs-comp-cand-bucket_component-candidates/2288_obs-comp-cand-002288_obimd-sub-4lgdy5a4ta_component-candidate/05_component-visual-assets/005_asset-020176_img.png,3474,PNG,250,250,L,,,0,3bf685fe875307ac85c888f1d08d6b5b987d0da5de4bae4acd1669be4a687128,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-002288-visual-0006,obs-comp-cand-002288,asset-020177,src-obimd,dl-obimd-subcharacter-images,obimd-sub-4lgdy5a4ta,Sub-character Images/4lgdy5a4ta/4lgdy5a4ta/2uz00gxjen.png,corpus/003_graphemic-components/023_002201-002300_obs-comp-cand-bucket_component-candidates/2288_obs-comp-cand-002288_obimd-sub-4lgdy5a4ta_component-candidate/05_component-visual-assets/006_asset-020177_img.png,3877,PNG,250,250,L,,,0,45a7fc86250d26f9f9a739a229814e4071b34ce74231d0395a17bb5cd851e341,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-002288-visual-0007,obs-comp-cand-002288,asset-020178,src-obimd,dl-obimd-subcharacter-images,obimd-sub-4lgdy5a4ta,Sub-character Images/4lgdy5a4ta/4lgdy5a4ta/2ymo6lpuh0.png,corpus/003_graphemic-components/023_002201-002300_obs-comp-cand-bucket_component-candidates/2288_obs-comp-cand-002288_obimd-sub-4lgdy5a4ta_component-candidate/05_component-visual-assets/007_asset-020178_img.png,2876,PNG,250,250,L,,,0,1d0eeb5b33ffa0eb0edfc3b6ed477302bfda6a0427f8516857dd43e53a5ff915,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-002288-visual-0008,obs-comp-cand-002288,asset-020179,src-obimd,dl-obimd-subcharacter-images,obimd-sub-4lgdy5a4ta,Sub-character Images/4lgdy5a4ta/4lgdy5a4ta/302w0ycplc.png,corpus/003_graphemic-components/023_002201-002300_obs-comp-cand-bucket_component-candidates/2288_obs-comp-cand-002288_obimd-sub-4lgdy5a4ta_component-candidate/05_component-visual-assets/008_asset-020179_img.png,4173,PNG,250,250,L,,,0,0da61a39742d525dfc30a19fb2e6b3b6514b27ea049f7be16a30da6e0508e959,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-002288-visual-0009,obs-comp-cand-002288,asset-020180,src-obimd,dl-obimd-subcharacter-images,obimd-sub-4lgdy5a4ta,Sub-character Images/4lgdy5a4ta/4lgdy5a4ta/44at0993oe.png,corpus/003_graphemic-components/023_002201-002300_obs-comp-cand-bucket_component-candidates/2288_obs-comp-cand-002288_obimd-sub-4lgdy5a4ta_component-candidate/05_component-visual-assets/009_asset-020180_img.png,3514,PNG,250,250,L,,,0,da26effa3bba1749aef7678043c711f121e9f5a21436520c63fe1a7c057e412e,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-002288-visual-0010,obs-comp-cand-002288,asset-020181,src-obimd,dl-obimd-subcharacter-images,obimd-sub-4lgdy5a4ta,Sub-character Images/4lgdy5a4ta/4lgdy5a4ta/47wujke6xi.png,corpus/003_graphemic-components/023_002201-002300_obs-comp-cand-bucket_component-candidates/2288_obs-comp-cand-002288_obimd-sub-4lgdy5a4ta_component-candidate/05_component-visual-assets/010_asset-020181_img.png,3971,PNG,250,250,L,,,0,fa974124b4e37032ebf09ea36d3c7764c4e7c246fc0a400e7308d7b6aaf1688e,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
