glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002297-glyph-0001,obs-comp-cand-002297,obimd-glyph-link-035577,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jgofpoxdpd,茲𢆶󽎷,U+8332;U+221B6;U+FD3B7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002297-glyph-0002,obs-comp-cand-002297,obimd-glyph-link-035578,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jgofpoxdpd,󽎸,U+FD3B8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002297-glyph-0003,obs-comp-cand-002297,obimd-glyph-link-035579,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jgofpoxdpd,󽎹,U+FD3B9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002297-glyph-0004,obs-comp-cand-002297,obimd-glyph-link-035580,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jgofpoxdpd,󽎺,U+FD3BA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002297-glyph-0005,obs-comp-cand-002297,obimd-glyph-link-035581,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jgofpoxdpd,󽎻,U+FD3BB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002297-glyph-0006,obs-comp-cand-002297,obimd-glyph-link-035582,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jgofpoxdpd,󽎼,U+FD3BC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002297-glyph-0007,obs-comp-cand-002297,obimd-glyph-link-035583,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jgofpoxdpd,󽎽,U+FD3BD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002297-glyph-0008,obs-comp-cand-002297,obimd-glyph-link-035584,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jgofpoxdpd,󽎾,U+FD3BE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002297-glyph-0009,obs-comp-cand-002297,obimd-glyph-link-035585,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jgofpoxdpd,󽎿,U+FD3BF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002297-glyph-0010,obs-comp-cand-002297,obimd-glyph-link-035586,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jgofpoxdpd,󽏀,U+FD3C0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002297-glyph-0011,obs-comp-cand-002297,obimd-glyph-link-035587,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jgofpoxdpd,󽏁,U+FD3C1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002297-glyph-0012,obs-comp-cand-002297,obimd-glyph-link-035588,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jgofpoxdpd,󽏂,U+FD3C2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002297-glyph-0013,obs-comp-cand-002297,obimd-glyph-link-035589,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jgofpoxdpd,󽏃,U+FD3C3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002297-glyph-0014,obs-comp-cand-002297,obimd-glyph-link-035590,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jgofpoxdpd,󽏄,U+FD3C4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002297-glyph-0015,obs-comp-cand-002297,obimd-glyph-link-035591,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jgofpoxdpd,󽏅,U+FD3C5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002297-glyph-0016,obs-comp-cand-002297,obimd-glyph-link-035592,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jgofpoxdpd,󽏆,U+FD3C6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002297-glyph-0017,obs-comp-cand-002297,obimd-glyph-link-035593,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jgofpoxdpd,󽏇,U+FD3C7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002297-glyph-0018,obs-comp-cand-002297,obimd-glyph-link-035594,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jgofpoxdpd,󽏈,U+FD3C8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002297-glyph-0019,obs-comp-cand-002297,obimd-glyph-link-035595,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jgofpoxdpd,󽏉,U+FD3C9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002297-glyph-0020,obs-comp-cand-002297,obimd-glyph-link-035596,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jgofpoxdpd,󽏊,U+FD3CA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002297-glyph-0021,obs-comp-cand-002297,obimd-glyph-link-035597,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jgofpoxdpd,󽏋,U+FD3CB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002297-glyph-0022,obs-comp-cand-002297,obimd-glyph-link-035598,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jgofpoxdpd,󽏌,U+FD3CC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002297-glyph-0023,obs-comp-cand-002297,obimd-glyph-link-035599,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jgofpoxdpd,󽏍,U+FD3CD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002297-glyph-0024,obs-comp-cand-002297,obimd-glyph-link-035600,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jgofpoxdpd,󽏎,U+FD3CE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002297-glyph-0025,obs-comp-cand-002297,obimd-glyph-link-035601,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jgofpoxdpd,󽏏,U+FD3CF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002297-glyph-0026,obs-comp-cand-002297,obimd-glyph-link-035602,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jgofpoxdpd,󽏐,U+FD3D0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002297-glyph-0027,obs-comp-cand-002297,obimd-glyph-link-035603,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jgofpoxdpd,󽏑,U+FD3D1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002297-glyph-0028,obs-comp-cand-002297,obimd-glyph-link-035604,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jgofpoxdpd,󽏒,U+FD3D2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002297-glyph-0029,obs-comp-cand-002297,obimd-glyph-link-035605,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jgofpoxdpd,󽏓,U+FD3D3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002297-glyph-0030,obs-comp-cand-002297,obimd-glyph-link-035606,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jgofpoxdpd,󽏔,U+FD3D4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002297-glyph-0031,obs-comp-cand-002297,obimd-glyph-link-035607,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jgofpoxdpd,󽏕,U+FD3D5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
