glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002304-glyph-0001,obs-comp-cand-002304,obimd-glyph-link-035694,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-s65fsavh28,𰏯󽑽,U+303EF;U+FD47D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002304-glyph-0002,obs-comp-cand-002304,obimd-glyph-link-035695,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-s65fsavh28,󽑾,U+FD47E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002304-glyph-0003,obs-comp-cand-002304,obimd-glyph-link-035696,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-s65fsavh28,󽑿,U+FD47F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002304-glyph-0004,obs-comp-cand-002304,obimd-glyph-link-035697,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-s65fsavh28,󽒀,U+FD480,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002304-glyph-0005,obs-comp-cand-002304,obimd-glyph-link-035698,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-s65fsavh28,󽒁,U+FD481,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002304-glyph-0006,obs-comp-cand-002304,obimd-glyph-link-035699,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-s65fsavh28,󽒂,U+FD482,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002304-glyph-0007,obs-comp-cand-002304,obimd-glyph-link-035700,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-s65fsavh28,󽒄,U+FD484,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002304-glyph-0008,obs-comp-cand-002304,obimd-glyph-link-035701,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-s65fsavh28,󽒅,U+FD485,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002304-glyph-0009,obs-comp-cand-002304,obimd-glyph-link-035702,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-s65fsavh28,󽒆,U+FD486,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002304-glyph-0010,obs-comp-cand-002304,obimd-glyph-link-035703,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-s65fsavh28,󽒇,U+FD487,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002304-glyph-0011,obs-comp-cand-002304,obimd-glyph-link-035704,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-s65fsavh28,󽒈,U+FD488,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
