glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002357-glyph-0001,obs-comp-cand-002357,obimd-glyph-link-036129,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rp1zjtuksu,󽞋,U+FD78B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002357-glyph-0002,obs-comp-cand-002357,obimd-glyph-link-036130,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rp1zjtuksu,󽞌,U+FD78C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002357-glyph-0003,obs-comp-cand-002357,obimd-glyph-link-036131,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rp1zjtuksu,󽞍,U+FD78D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002357-glyph-0004,obs-comp-cand-002357,obimd-glyph-link-036132,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rp1zjtuksu,󽞎,U+FD78E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002357-glyph-0005,obs-comp-cand-002357,obimd-glyph-link-036133,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rp1zjtuksu,󽞏,U+FD78F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002357-glyph-0006,obs-comp-cand-002357,obimd-glyph-link-036134,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rp1zjtuksu,󽞐,U+FD790,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002357-glyph-0007,obs-comp-cand-002357,obimd-glyph-link-036135,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rp1zjtuksu,󽞑,U+FD791,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002357-glyph-0008,obs-comp-cand-002357,obimd-glyph-link-036136,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rp1zjtuksu,󽞒,U+FD792,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002357-glyph-0009,obs-comp-cand-002357,obimd-glyph-link-036137,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rp1zjtuksu,󽞓,U+FD793,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002357-glyph-0010,obs-comp-cand-002357,obimd-glyph-link-036138,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rp1zjtuksu,󽞔,U+FD794,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002357-glyph-0011,obs-comp-cand-002357,obimd-glyph-link-036139,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rp1zjtuksu,󽞕,U+FD795,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002357-glyph-0012,obs-comp-cand-002357,obimd-glyph-link-036140,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rp1zjtuksu,󽞖,U+FD796,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002357-glyph-0013,obs-comp-cand-002357,obimd-glyph-link-036141,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rp1zjtuksu,󽞗,U+FD797,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002357-glyph-0014,obs-comp-cand-002357,obimd-glyph-link-036142,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rp1zjtuksu,󽞘,U+FD798,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002357-glyph-0015,obs-comp-cand-002357,obimd-glyph-link-036143,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rp1zjtuksu,󽞙,U+FD799,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
