glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002383-glyph-0001,obs-comp-cand-002383,obimd-glyph-link-036677,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0kg5dhdk4s,東󽨱,U+6771;U+FDA31,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002383-glyph-0002,obs-comp-cand-002383,obimd-glyph-link-036678,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0kg5dhdk4s,󽨲,U+FDA32,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002383-glyph-0003,obs-comp-cand-002383,obimd-glyph-link-036679,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0kg5dhdk4s,󽨳,U+FDA33,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002383-glyph-0004,obs-comp-cand-002383,obimd-glyph-link-036680,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0kg5dhdk4s,󽨴,U+FDA34,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002383-glyph-0005,obs-comp-cand-002383,obimd-glyph-link-036681,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0kg5dhdk4s,󽨵,U+FDA35,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002383-glyph-0006,obs-comp-cand-002383,obimd-glyph-link-036682,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0kg5dhdk4s,󽨶,U+FDA36,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002383-glyph-0007,obs-comp-cand-002383,obimd-glyph-link-036683,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0kg5dhdk4s,󽨷,U+FDA37,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002383-glyph-0008,obs-comp-cand-002383,obimd-glyph-link-036684,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0kg5dhdk4s,󽨸,U+FDA38,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002383-glyph-0009,obs-comp-cand-002383,obimd-glyph-link-036685,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0kg5dhdk4s,󽨹,U+FDA39,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002383-glyph-0010,obs-comp-cand-002383,obimd-glyph-link-036686,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0kg5dhdk4s,󽨺,U+FDA3A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002383-glyph-0011,obs-comp-cand-002383,obimd-glyph-link-036687,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0kg5dhdk4s,󽨻,U+FDA3B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
