glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002387-glyph-0001,obs-comp-cand-002387,obimd-glyph-link-036738,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wcl42s7y1r,速򲤸󽪷,U+901F;U+B2938;U+FDAB7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002387-glyph-0002,obs-comp-cand-002387,obimd-glyph-link-036739,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wcl42s7y1r,󽪸,U+FDAB8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002387-glyph-0003,obs-comp-cand-002387,obimd-glyph-link-036740,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wcl42s7y1r,󽪹,U+FDAB9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002387-glyph-0004,obs-comp-cand-002387,obimd-glyph-link-036741,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wcl42s7y1r,󽪺,U+FDABA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002387-glyph-0005,obs-comp-cand-002387,obimd-glyph-link-036742,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wcl42s7y1r,󽪻,U+FDABB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002387-glyph-0006,obs-comp-cand-002387,obimd-glyph-link-036743,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wcl42s7y1r,󽪼,U+FDABC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002387-glyph-0007,obs-comp-cand-002387,obimd-glyph-link-036744,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wcl42s7y1r,󽪽,U+FDABD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002387-glyph-0008,obs-comp-cand-002387,obimd-glyph-link-036745,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wcl42s7y1r,󽪾,U+FDABE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002387-glyph-0009,obs-comp-cand-002387,obimd-glyph-link-036746,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wcl42s7y1r,󽪿,U+FDABF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002387-glyph-0010,obs-comp-cand-002387,obimd-glyph-link-036747,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wcl42s7y1r,󽫀,U+FDAC0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002387-glyph-0011,obs-comp-cand-002387,obimd-glyph-link-036748,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wcl42s7y1r,󽫁,U+FDAC1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
