glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002410-glyph-0001,obs-comp-cand-002410,obimd-glyph-link-036859,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-8lxqk97zyh,壴󽯇,U+58F4;U+FDBC7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002410-glyph-0002,obs-comp-cand-002410,obimd-glyph-link-036860,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-8lxqk97zyh,󽯈,U+FDBC8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002410-glyph-0003,obs-comp-cand-002410,obimd-glyph-link-036861,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-8lxqk97zyh,󽯉,U+FDBC9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002410-glyph-0004,obs-comp-cand-002410,obimd-glyph-link-036862,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-8lxqk97zyh,󽯊,U+FDBCA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002410-glyph-0005,obs-comp-cand-002410,obimd-glyph-link-036863,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-8lxqk97zyh,󽯋,U+FDBCB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002410-glyph-0006,obs-comp-cand-002410,obimd-glyph-link-036864,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-8lxqk97zyh,󽯌,U+FDBCC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002410-glyph-0007,obs-comp-cand-002410,obimd-glyph-link-036865,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-8lxqk97zyh,󽯍,U+FDBCD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002410-glyph-0008,obs-comp-cand-002410,obimd-glyph-link-036866,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-8lxqk97zyh,󽯎,U+FDBCE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002410-glyph-0009,obs-comp-cand-002410,obimd-glyph-link-036867,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-8lxqk97zyh,󽯏,U+FDBCF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002410-glyph-0010,obs-comp-cand-002410,obimd-glyph-link-036868,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-8lxqk97zyh,󽯐,U+FDBD0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002410-glyph-0011,obs-comp-cand-002410,obimd-glyph-link-036869,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-8lxqk97zyh,󽯑,U+FDBD1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
