glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002431-glyph-0001,obs-comp-cand-002431,obimd-glyph-link-037418,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sxj3j42ygo,庸󽸹,U+5EB8;U+FDE39,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002431-glyph-0002,obs-comp-cand-002431,obimd-glyph-link-037419,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sxj3j42ygo,󽸺,U+FDE3A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002431-glyph-0003,obs-comp-cand-002431,obimd-glyph-link-037420,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sxj3j42ygo,󽸻,U+FDE3B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002431-glyph-0004,obs-comp-cand-002431,obimd-glyph-link-037421,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sxj3j42ygo,󽸼,U+FDE3C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002431-glyph-0005,obs-comp-cand-002431,obimd-glyph-link-037422,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sxj3j42ygo,󽸾,U+FDE3E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002431-glyph-0006,obs-comp-cand-002431,obimd-glyph-link-037423,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sxj3j42ygo,󽸿,U+FDE3F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002431-glyph-0007,obs-comp-cand-002431,obimd-glyph-link-037424,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sxj3j42ygo,󽹀,U+FDE40,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002431-glyph-0008,obs-comp-cand-002431,obimd-glyph-link-037425,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sxj3j42ygo,󽹁,U+FDE41,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002431-glyph-0009,obs-comp-cand-002431,obimd-glyph-link-037426,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sxj3j42ygo,󽹂,U+FDE42,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002431-glyph-0010,obs-comp-cand-002431,obimd-glyph-link-037427,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sxj3j42ygo,󽹃,U+FDE43,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002431-glyph-0011,obs-comp-cand-002431,obimd-glyph-link-037428,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sxj3j42ygo,󽹄,U+FDE44,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
