glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002464-glyph-0001,obs-comp-cand-002464,obimd-glyph-link-037864,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wuta1w8vjd,򻖆󾂠,U+BB586;U+FE0A0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002464-glyph-0002,obs-comp-cand-002464,obimd-glyph-link-037865,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wuta1w8vjd,󾂡,U+FE0A1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002464-glyph-0003,obs-comp-cand-002464,obimd-glyph-link-037866,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wuta1w8vjd,󾂢,U+FE0A2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002464-glyph-0004,obs-comp-cand-002464,obimd-glyph-link-037867,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wuta1w8vjd,󾂣,U+FE0A3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002464-glyph-0005,obs-comp-cand-002464,obimd-glyph-link-037868,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wuta1w8vjd,󾂤,U+FE0A4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002464-glyph-0006,obs-comp-cand-002464,obimd-glyph-link-037869,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wuta1w8vjd,󾂥,U+FE0A5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002464-glyph-0007,obs-comp-cand-002464,obimd-glyph-link-037870,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wuta1w8vjd,󾂦,U+FE0A6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002464-glyph-0008,obs-comp-cand-002464,obimd-glyph-link-037871,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wuta1w8vjd,󾂧,U+FE0A7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002464-glyph-0009,obs-comp-cand-002464,obimd-glyph-link-037872,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wuta1w8vjd,󾂨,U+FE0A8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002464-glyph-0010,obs-comp-cand-002464,obimd-glyph-link-037873,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wuta1w8vjd,󾂩,U+FE0A9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002464-glyph-0011,obs-comp-cand-002464,obimd-glyph-link-037874,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wuta1w8vjd,󾂪,U+FE0AA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002464-glyph-0012,obs-comp-cand-002464,obimd-glyph-link-037875,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wuta1w8vjd,󾂫,U+FE0AB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002464-glyph-0013,obs-comp-cand-002464,obimd-glyph-link-037876,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wuta1w8vjd,󾂬,U+FE0AC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002464-glyph-0014,obs-comp-cand-002464,obimd-glyph-link-037877,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wuta1w8vjd,󾂭,U+FE0AD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002464-glyph-0015,obs-comp-cand-002464,obimd-glyph-link-037878,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wuta1w8vjd,󾂮,U+FE0AE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002464-glyph-0016,obs-comp-cand-002464,obimd-glyph-link-037879,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wuta1w8vjd,󾂯,U+FE0AF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002464-glyph-0017,obs-comp-cand-002464,obimd-glyph-link-037880,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wuta1w8vjd,󾂰,U+FE0B0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002464-glyph-0018,obs-comp-cand-002464,obimd-glyph-link-037881,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wuta1w8vjd,󾂱,U+FE0B1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002464-glyph-0019,obs-comp-cand-002464,obimd-glyph-link-037882,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wuta1w8vjd,󾂲,U+FE0B2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002464-glyph-0020,obs-comp-cand-002464,obimd-glyph-link-037883,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wuta1w8vjd,󾂳,U+FE0B3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002464-glyph-0021,obs-comp-cand-002464,obimd-glyph-link-037884,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wuta1w8vjd,󾂴,U+FE0B4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002464-glyph-0022,obs-comp-cand-002464,obimd-glyph-link-037885,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wuta1w8vjd,󾂵,U+FE0B5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002464-glyph-0023,obs-comp-cand-002464,obimd-glyph-link-037886,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wuta1w8vjd,󾂶,U+FE0B6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002464-glyph-0024,obs-comp-cand-002464,obimd-glyph-link-037887,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wuta1w8vjd,󾂷,U+FE0B7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002464-glyph-0025,obs-comp-cand-002464,obimd-glyph-link-037888,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wuta1w8vjd,󾂸,U+FE0B8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002464-glyph-0026,obs-comp-cand-002464,obimd-glyph-link-037889,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wuta1w8vjd,󾂹,U+FE0B9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002464-glyph-0027,obs-comp-cand-002464,obimd-glyph-link-037890,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wuta1w8vjd,󾂺,U+FE0BA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002464-glyph-0028,obs-comp-cand-002464,obimd-glyph-link-037891,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wuta1w8vjd,󾂻,U+FE0BB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002464-glyph-0029,obs-comp-cand-002464,obimd-glyph-link-037892,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wuta1w8vjd,󾂼,U+FE0BC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002464-glyph-0030,obs-comp-cand-002464,obimd-glyph-link-037893,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wuta1w8vjd,󾂽,U+FE0BD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002464-glyph-0031,obs-comp-cand-002464,obimd-glyph-link-037894,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wuta1w8vjd,󾂾,U+FE0BE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002464-glyph-0032,obs-comp-cand-002464,obimd-glyph-link-037895,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wuta1w8vjd,󾂿,U+FE0BF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002464-glyph-0033,obs-comp-cand-002464,obimd-glyph-link-037896,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wuta1w8vjd,󾃀,U+FE0C0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
