glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002473-glyph-0001,obs-comp-cand-002473,obimd-glyph-link-038055,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-cix7bwff76,󾅾,U+FE17E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002473-glyph-0002,obs-comp-cand-002473,obimd-glyph-link-038056,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-cix7bwff76,󾅿,U+FE17F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002473-glyph-0003,obs-comp-cand-002473,obimd-glyph-link-038057,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-cix7bwff76,󾆀,U+FE180,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002473-glyph-0004,obs-comp-cand-002473,obimd-glyph-link-038058,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-cix7bwff76,󾆁,U+FE181,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002473-glyph-0005,obs-comp-cand-002473,obimd-glyph-link-038059,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-cix7bwff76,󾆂,U+FE182,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002473-glyph-0006,obs-comp-cand-002473,obimd-glyph-link-038060,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-cix7bwff76,󾆃,U+FE183,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002473-glyph-0007,obs-comp-cand-002473,obimd-glyph-link-038061,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-cix7bwff76,󾆄,U+FE184,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002473-glyph-0008,obs-comp-cand-002473,obimd-glyph-link-038062,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-cix7bwff76,󾆅,U+FE185,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002473-glyph-0009,obs-comp-cand-002473,obimd-glyph-link-038063,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-cix7bwff76,󾆆,U+FE186,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002473-glyph-0010,obs-comp-cand-002473,obimd-glyph-link-038064,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-cix7bwff76,󾆇,U+FE187,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
