glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002474-glyph-0001,obs-comp-cand-002474,obimd-glyph-link-038101,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-veo9ydy97t,󇱒󾆳,U+C7C52;U+FE1B3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002474-glyph-0002,obs-comp-cand-002474,obimd-glyph-link-038102,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-veo9ydy97t,󾆴,U+FE1B4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002474-glyph-0003,obs-comp-cand-002474,obimd-glyph-link-038103,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-veo9ydy97t,󾆵,U+FE1B5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002474-glyph-0004,obs-comp-cand-002474,obimd-glyph-link-038104,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-veo9ydy97t,󾆶,U+FE1B6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002474-glyph-0005,obs-comp-cand-002474,obimd-glyph-link-038105,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-veo9ydy97t,󾆷,U+FE1B7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002474-glyph-0006,obs-comp-cand-002474,obimd-glyph-link-038106,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-veo9ydy97t,󾆸,U+FE1B8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002474-glyph-0007,obs-comp-cand-002474,obimd-glyph-link-038107,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-veo9ydy97t,󾆹,U+FE1B9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002474-glyph-0008,obs-comp-cand-002474,obimd-glyph-link-038108,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-veo9ydy97t,󾆺,U+FE1BA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002474-glyph-0009,obs-comp-cand-002474,obimd-glyph-link-038109,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-veo9ydy97t,󾆻,U+FE1BB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002474-glyph-0010,obs-comp-cand-002474,obimd-glyph-link-038110,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-veo9ydy97t,󾆼,U+FE1BC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002474-glyph-0011,obs-comp-cand-002474,obimd-glyph-link-038111,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-veo9ydy97t,󾆽,U+FE1BD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002474-glyph-0012,obs-comp-cand-002474,obimd-glyph-link-038112,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-veo9ydy97t,󾆾,U+FE1BE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002474-glyph-0013,obs-comp-cand-002474,obimd-glyph-link-038113,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-veo9ydy97t,󾆿,U+FE1BF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002474-glyph-0014,obs-comp-cand-002474,obimd-glyph-link-038114,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-veo9ydy97t,󾇀,U+FE1C0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002474-glyph-0015,obs-comp-cand-002474,obimd-glyph-link-038115,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-veo9ydy97t,󾇁,U+FE1C1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002474-glyph-0016,obs-comp-cand-002474,obimd-glyph-link-038116,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-veo9ydy97t,󾇂,U+FE1C2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002474-glyph-0017,obs-comp-cand-002474,obimd-glyph-link-038117,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-veo9ydy97t,󾇃,U+FE1C3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002474-glyph-0018,obs-comp-cand-002474,obimd-glyph-link-038118,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-veo9ydy97t,󾇄,U+FE1C4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002474-glyph-0019,obs-comp-cand-002474,obimd-glyph-link-038119,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-veo9ydy97t,󾇅,U+FE1C5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002474-glyph-0020,obs-comp-cand-002474,obimd-glyph-link-038120,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-veo9ydy97t,󾇆,U+FE1C6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002474-glyph-0021,obs-comp-cand-002474,obimd-glyph-link-038121,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-veo9ydy97t,󾇇,U+FE1C7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002474-glyph-0022,obs-comp-cand-002474,obimd-glyph-link-038122,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-veo9ydy97t,󾇈,U+FE1C8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002474-glyph-0023,obs-comp-cand-002474,obimd-glyph-link-038123,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-veo9ydy97t,󾇉,U+FE1C9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002474-glyph-0024,obs-comp-cand-002474,obimd-glyph-link-038124,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-veo9ydy97t,󾇊,U+FE1CA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002474-glyph-0025,obs-comp-cand-002474,obimd-glyph-link-038125,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-veo9ydy97t,󾇋,U+FE1CB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002474-glyph-0026,obs-comp-cand-002474,obimd-glyph-link-038126,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-veo9ydy97t,󾇌,U+FE1CC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002474-glyph-0027,obs-comp-cand-002474,obimd-glyph-link-038127,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-veo9ydy97t,󾇍,U+FE1CD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
