glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002510-glyph-0001,obs-comp-cand-002510,obimd-glyph-link-038412,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jfc5ld8k0t,卅󾏓,U+5345;U+FE3D3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002510-glyph-0002,obs-comp-cand-002510,obimd-glyph-link-038413,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jfc5ld8k0t,󾏔,U+FE3D4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002510-glyph-0003,obs-comp-cand-002510,obimd-glyph-link-038414,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jfc5ld8k0t,󾏕,U+FE3D5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002510-glyph-0004,obs-comp-cand-002510,obimd-glyph-link-038415,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jfc5ld8k0t,󾏖,U+FE3D6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002510-glyph-0005,obs-comp-cand-002510,obimd-glyph-link-038416,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jfc5ld8k0t,󾏗,U+FE3D7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002510-glyph-0006,obs-comp-cand-002510,obimd-glyph-link-038417,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jfc5ld8k0t,󾏘,U+FE3D8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002510-glyph-0007,obs-comp-cand-002510,obimd-glyph-link-038418,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jfc5ld8k0t,󾏙,U+FE3D9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002510-glyph-0008,obs-comp-cand-002510,obimd-glyph-link-038419,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jfc5ld8k0t,󾏚,U+FE3DA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002510-glyph-0009,obs-comp-cand-002510,obimd-glyph-link-038420,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jfc5ld8k0t,󾏛,U+FE3DB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002510-glyph-0010,obs-comp-cand-002510,obimd-glyph-link-038421,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jfc5ld8k0t,󾏜,U+FE3DC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002510-glyph-0011,obs-comp-cand-002510,obimd-glyph-link-038422,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jfc5ld8k0t,󾏝,U+FE3DD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
