glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002513-glyph-0001,obs-comp-cand-002513,obimd-glyph-link-038455,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dp8imn8ze4,小󾐇,U+5C0F;U+FE407,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002513-glyph-0002,obs-comp-cand-002513,obimd-glyph-link-038456,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dp8imn8ze4,󾐈,U+FE408,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002513-glyph-0003,obs-comp-cand-002513,obimd-glyph-link-038457,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dp8imn8ze4,󾐉,U+FE409,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002513-glyph-0004,obs-comp-cand-002513,obimd-glyph-link-038458,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dp8imn8ze4,󾐊,U+FE40A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002513-glyph-0005,obs-comp-cand-002513,obimd-glyph-link-038459,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dp8imn8ze4,󾐋,U+FE40B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002513-glyph-0006,obs-comp-cand-002513,obimd-glyph-link-038460,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dp8imn8ze4,󾐌,U+FE40C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002513-glyph-0007,obs-comp-cand-002513,obimd-glyph-link-038461,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dp8imn8ze4,󾐍,U+FE40D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002513-glyph-0008,obs-comp-cand-002513,obimd-glyph-link-038462,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dp8imn8ze4,󾐎,U+FE40E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002513-glyph-0009,obs-comp-cand-002513,obimd-glyph-link-038463,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dp8imn8ze4,󾐏,U+FE40F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002513-glyph-0010,obs-comp-cand-002513,obimd-glyph-link-038464,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dp8imn8ze4,󾐐,U+FE410,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002513-glyph-0011,obs-comp-cand-002513,obimd-glyph-link-038465,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dp8imn8ze4,󾐑,U+FE411,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002513-glyph-0012,obs-comp-cand-002513,obimd-glyph-link-038466,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dp8imn8ze4,󾐒,U+FE412,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002513-glyph-0013,obs-comp-cand-002513,obimd-glyph-link-038467,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dp8imn8ze4,󾐓,U+FE413,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002513-glyph-0014,obs-comp-cand-002513,obimd-glyph-link-038468,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dp8imn8ze4,󾐔,U+FE414,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002513-glyph-0015,obs-comp-cand-002513,obimd-glyph-link-038469,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dp8imn8ze4,󾐕,U+FE415,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002513-glyph-0016,obs-comp-cand-002513,obimd-glyph-link-038470,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dp8imn8ze4,󾐖,U+FE416,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002513-glyph-0017,obs-comp-cand-002513,obimd-glyph-link-038471,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dp8imn8ze4,󾐗,U+FE417,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002513-glyph-0018,obs-comp-cand-002513,obimd-glyph-link-038472,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dp8imn8ze4,󾐘,U+FE418,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002513-glyph-0019,obs-comp-cand-002513,obimd-glyph-link-038473,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dp8imn8ze4,󾐙,U+FE419,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
