glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002514-glyph-0001,obs-comp-cand-002514,obimd-glyph-link-038474,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qqzep29tat,󾐛,U+FE41B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002514-glyph-0002,obs-comp-cand-002514,obimd-glyph-link-038475,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qqzep29tat,󾐜,U+FE41C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002514-glyph-0003,obs-comp-cand-002514,obimd-glyph-link-038476,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qqzep29tat,󾐝,U+FE41D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002514-glyph-0004,obs-comp-cand-002514,obimd-glyph-link-038477,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qqzep29tat,󾐞,U+FE41E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002514-glyph-0005,obs-comp-cand-002514,obimd-glyph-link-038478,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qqzep29tat,󾐟,U+FE41F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002514-glyph-0006,obs-comp-cand-002514,obimd-glyph-link-038479,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qqzep29tat,󾐠,U+FE420,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002514-glyph-0007,obs-comp-cand-002514,obimd-glyph-link-038480,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qqzep29tat,󾐡,U+FE421,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002514-glyph-0008,obs-comp-cand-002514,obimd-glyph-link-038481,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qqzep29tat,󾐢,U+FE422,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002514-glyph-0009,obs-comp-cand-002514,obimd-glyph-link-038482,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qqzep29tat,󾐣,U+FE423,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002514-glyph-0010,obs-comp-cand-002514,obimd-glyph-link-038483,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qqzep29tat,󾐤,U+FE424,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
