glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002516-glyph-0001,obs-comp-cand-002516,obimd-glyph-link-038493,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ay8mkydpb2,卯󾐲,U+536F;U+FE432,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002516-glyph-0002,obs-comp-cand-002516,obimd-glyph-link-038494,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ay8mkydpb2,󾐳,U+FE433,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002516-glyph-0003,obs-comp-cand-002516,obimd-glyph-link-038495,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ay8mkydpb2,󾐴,U+FE434,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002516-glyph-0004,obs-comp-cand-002516,obimd-glyph-link-038496,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ay8mkydpb2,󾐵,U+FE435,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002516-glyph-0005,obs-comp-cand-002516,obimd-glyph-link-038497,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ay8mkydpb2,󾐶,U+FE436,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002516-glyph-0006,obs-comp-cand-002516,obimd-glyph-link-038498,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ay8mkydpb2,󾐷,U+FE437,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002516-glyph-0007,obs-comp-cand-002516,obimd-glyph-link-038499,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ay8mkydpb2,󾐸,U+FE438,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002516-glyph-0008,obs-comp-cand-002516,obimd-glyph-link-038500,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ay8mkydpb2,󾐹,U+FE439,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002516-glyph-0009,obs-comp-cand-002516,obimd-glyph-link-038501,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ay8mkydpb2,󾐺,U+FE43A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002516-glyph-0010,obs-comp-cand-002516,obimd-glyph-link-038502,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ay8mkydpb2,󾐻,U+FE43B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002516-glyph-0011,obs-comp-cand-002516,obimd-glyph-link-038503,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ay8mkydpb2,󾐼,U+FE43C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
