glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002526-glyph-0001,obs-comp-cand-002526,obimd-glyph-link-038707,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d5c5afq5ue,兮󾕛,U+516E;U+FE55B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002526-glyph-0002,obs-comp-cand-002526,obimd-glyph-link-038708,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d5c5afq5ue,󾕜,U+FE55C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002526-glyph-0003,obs-comp-cand-002526,obimd-glyph-link-038709,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d5c5afq5ue,󾕝,U+FE55D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002526-glyph-0004,obs-comp-cand-002526,obimd-glyph-link-038710,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d5c5afq5ue,󾕞,U+FE55E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002526-glyph-0005,obs-comp-cand-002526,obimd-glyph-link-038711,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d5c5afq5ue,󾕟,U+FE55F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002526-glyph-0006,obs-comp-cand-002526,obimd-glyph-link-038712,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d5c5afq5ue,󾕠,U+FE560,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002526-glyph-0007,obs-comp-cand-002526,obimd-glyph-link-038713,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d5c5afq5ue,󾕡,U+FE561,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002526-glyph-0008,obs-comp-cand-002526,obimd-glyph-link-038714,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d5c5afq5ue,󾕢,U+FE562,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002526-glyph-0009,obs-comp-cand-002526,obimd-glyph-link-038715,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d5c5afq5ue,󾕣,U+FE563,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002526-glyph-0010,obs-comp-cand-002526,obimd-glyph-link-038716,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d5c5afq5ue,󾕤,U+FE564,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002526-glyph-0011,obs-comp-cand-002526,obimd-glyph-link-038717,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d5c5afq5ue,󾕥,U+FE565,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
