glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002540-glyph-0001,obs-comp-cand-002540,obimd-glyph-link-038888,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bh6mqc68g2,򡽥򧧤󾙚,U+A1F65;U+A79E4;U+FE65A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002540-glyph-0002,obs-comp-cand-002540,obimd-glyph-link-038889,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bh6mqc68g2,󾙛,U+FE65B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002540-glyph-0003,obs-comp-cand-002540,obimd-glyph-link-038890,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bh6mqc68g2,󾙜,U+FE65C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002540-glyph-0004,obs-comp-cand-002540,obimd-glyph-link-038891,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bh6mqc68g2,󾙝,U+FE65D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002540-glyph-0005,obs-comp-cand-002540,obimd-glyph-link-038892,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bh6mqc68g2,󾙞,U+FE65E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002540-glyph-0006,obs-comp-cand-002540,obimd-glyph-link-038893,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bh6mqc68g2,󾙟,U+FE65F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002540-glyph-0007,obs-comp-cand-002540,obimd-glyph-link-038894,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bh6mqc68g2,󾙠,U+FE660,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002540-glyph-0008,obs-comp-cand-002540,obimd-glyph-link-038895,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bh6mqc68g2,󾙡,U+FE661,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002540-glyph-0009,obs-comp-cand-002540,obimd-glyph-link-038896,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bh6mqc68g2,󾙢,U+FE662,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002540-glyph-0010,obs-comp-cand-002540,obimd-glyph-link-038897,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bh6mqc68g2,󾙣,U+FE663,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002540-glyph-0011,obs-comp-cand-002540,obimd-glyph-link-038898,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bh6mqc68g2,󾙤,U+FE664,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
