glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002549-glyph-0001,obs-comp-cand-002549,obimd-glyph-link-039018,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d91rup9lkj,冓󾜞,U+5193;U+FE71E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002549-glyph-0002,obs-comp-cand-002549,obimd-glyph-link-039019,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d91rup9lkj,󾜟,U+FE71F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002549-glyph-0003,obs-comp-cand-002549,obimd-glyph-link-039020,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d91rup9lkj,󾜠,U+FE720,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002549-glyph-0004,obs-comp-cand-002549,obimd-glyph-link-039021,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d91rup9lkj,󾜡,U+FE721,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002549-glyph-0005,obs-comp-cand-002549,obimd-glyph-link-039022,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d91rup9lkj,󾜢,U+FE722,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002549-glyph-0006,obs-comp-cand-002549,obimd-glyph-link-039023,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d91rup9lkj,󾜣,U+FE723,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002549-glyph-0007,obs-comp-cand-002549,obimd-glyph-link-039024,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d91rup9lkj,󾜤,U+FE724,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002549-glyph-0008,obs-comp-cand-002549,obimd-glyph-link-039025,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d91rup9lkj,󾜥,U+FE725,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002549-glyph-0009,obs-comp-cand-002549,obimd-glyph-link-039026,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d91rup9lkj,󾜦,U+FE726,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002549-glyph-0010,obs-comp-cand-002549,obimd-glyph-link-039027,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d91rup9lkj,󾜧,U+FE727,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002549-glyph-0011,obs-comp-cand-002549,obimd-glyph-link-039028,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d91rup9lkj,󾜨,U+FE728,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002549-glyph-0012,obs-comp-cand-002549,obimd-glyph-link-039029,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d91rup9lkj,󾜩,U+FE729,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002549-glyph-0013,obs-comp-cand-002549,obimd-glyph-link-039030,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d91rup9lkj,󾜪,U+FE72A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002549-glyph-0014,obs-comp-cand-002549,obimd-glyph-link-039031,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d91rup9lkj,󾜫,U+FE72B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002549-glyph-0015,obs-comp-cand-002549,obimd-glyph-link-039032,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d91rup9lkj,󾜬,U+FE72C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002549-glyph-0016,obs-comp-cand-002549,obimd-glyph-link-039033,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d91rup9lkj,󾜭,U+FE72D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002549-glyph-0017,obs-comp-cand-002549,obimd-glyph-link-039034,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d91rup9lkj,󾜮,U+FE72E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002549-glyph-0018,obs-comp-cand-002549,obimd-glyph-link-039035,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d91rup9lkj,󾜯,U+FE72F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002549-glyph-0019,obs-comp-cand-002549,obimd-glyph-link-039036,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d91rup9lkj,󾜰,U+FE730,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002549-glyph-0020,obs-comp-cand-002549,obimd-glyph-link-039037,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d91rup9lkj,󾜱,U+FE731,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002549-glyph-0021,obs-comp-cand-002549,obimd-glyph-link-039038,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d91rup9lkj,󾜲,U+FE732,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002549-glyph-0022,obs-comp-cand-002549,obimd-glyph-link-039039,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d91rup9lkj,󾜳,U+FE733,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002549-glyph-0023,obs-comp-cand-002549,obimd-glyph-link-039040,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d91rup9lkj,󾜴,U+FE734,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002549-glyph-0024,obs-comp-cand-002549,obimd-glyph-link-039041,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d91rup9lkj,󾜵,U+FE735,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002549-glyph-0025,obs-comp-cand-002549,obimd-glyph-link-039042,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d91rup9lkj,󾜶,U+FE736,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002549-glyph-0026,obs-comp-cand-002549,obimd-glyph-link-039043,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d91rup9lkj,󾜷,U+FE737,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002549-glyph-0027,obs-comp-cand-002549,obimd-glyph-link-039044,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d91rup9lkj,󾜸,U+FE738,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
