glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002551-glyph-0001,obs-comp-cand-002551,obimd-glyph-link-039136,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-792nt3zdcj,遘󾞞,U+9058;U+FE79E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002551-glyph-0002,obs-comp-cand-002551,obimd-glyph-link-039137,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-792nt3zdcj,󾞟,U+FE79F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002551-glyph-0003,obs-comp-cand-002551,obimd-glyph-link-039138,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-792nt3zdcj,󾞠,U+FE7A0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002551-glyph-0004,obs-comp-cand-002551,obimd-glyph-link-039139,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-792nt3zdcj,󾞡,U+FE7A1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002551-glyph-0005,obs-comp-cand-002551,obimd-glyph-link-039140,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-792nt3zdcj,󾞢,U+FE7A2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002551-glyph-0006,obs-comp-cand-002551,obimd-glyph-link-039141,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-792nt3zdcj,󾞣,U+FE7A3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002551-glyph-0007,obs-comp-cand-002551,obimd-glyph-link-039142,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-792nt3zdcj,󾞤,U+FE7A4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002551-glyph-0008,obs-comp-cand-002551,obimd-glyph-link-039143,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-792nt3zdcj,󾞥,U+FE7A5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002551-glyph-0009,obs-comp-cand-002551,obimd-glyph-link-039144,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-792nt3zdcj,󾞦,U+FE7A6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002551-glyph-0010,obs-comp-cand-002551,obimd-glyph-link-039145,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-792nt3zdcj,󾞧,U+FE7A7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002551-glyph-0011,obs-comp-cand-002551,obimd-glyph-link-039146,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-792nt3zdcj,󾞨,U+FE7A8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
