glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002560-glyph-0001,obs-comp-cand-002560,obimd-glyph-link-039292,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-yegwwb6w0t,󾡽,U+FE87D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002560-glyph-0002,obs-comp-cand-002560,obimd-glyph-link-039293,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-yegwwb6w0t,󾡾,U+FE87E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002560-glyph-0003,obs-comp-cand-002560,obimd-glyph-link-039294,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-yegwwb6w0t,󾡿,U+FE87F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002560-glyph-0004,obs-comp-cand-002560,obimd-glyph-link-039295,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-yegwwb6w0t,󾢀,U+FE880,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002560-glyph-0005,obs-comp-cand-002560,obimd-glyph-link-039296,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-yegwwb6w0t,󾢁,U+FE881,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002560-glyph-0006,obs-comp-cand-002560,obimd-glyph-link-039297,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-yegwwb6w0t,󾢂,U+FE882,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002560-glyph-0007,obs-comp-cand-002560,obimd-glyph-link-039298,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-yegwwb6w0t,󾢃,U+FE883,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002560-glyph-0008,obs-comp-cand-002560,obimd-glyph-link-039299,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-yegwwb6w0t,󾢄,U+FE884,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002560-glyph-0009,obs-comp-cand-002560,obimd-glyph-link-039300,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-yegwwb6w0t,󾢅,U+FE885,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002560-glyph-0010,obs-comp-cand-002560,obimd-glyph-link-039301,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-yegwwb6w0t,󾢆,U+FE886,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
